feature,weight
BIAS,258.38342242432924
bp_1,-180.8202811921997
bp_2,-3.828702664536227
bp_3,-118.98420200994497
bp_4,15.389951617019562
bp_5,140.13800707731633
bp_6,-26.67860698945158
bp_7,25.60709416809888
bp_8,32.01834423744167
bp_9,26.45229423290276
bp_10,-23.903160277822717
bp_11,-24.071606404339448
bp_12,5.574144966819526
bp_13,82.77419663432605
bp_14,-19.661835524899097
bp_15,-67.73654829187966
bp_16,-35.15368739844016
bp_17,87.08227829509335
bp_18,21.164792372121365
bp_19,-51.694770986927345
bp_20,24.755177541005317
bp_21,-27.574188621408926
bp_22,60.558166075770856
bp_23,-118.21515696071923
bp_24,-16.312859885268036
bp_25,3.4714093789621487
bp_26,-13.219781212559445
bp_27,-35.63440478291849
bp_28,-48.245579127804646
bp_29,18.129862808370852
bp_30,-37.356484882306404
bp_31,40.02378190066398
bp_32,-12.204915305600219
bp_33,45.895959845406516
bp_34,28.65809049743254
bp_35,6.769880186417146
bp_36,-8.332605275860027
bp_37,59.03728778407792
bp_38,-40.75586520944312
bp_39,34.11827916923014
bp_40,-7.964424205078213
bp_41,-8.332032220731183
bp_42,18.1396245282171
bp_43,10.932914741213747
bp_44,-8.815666440674296
bp_45,-47.67592682044836
bp_46,-24.946023406686006
bp_47,-3.000530998881585
bp_48,-10.023368308481247
bp_49,7.772745186111269
bp_50,-6.079627280781961
bp_51,12.518431056638947
bp_52,-3.2769065090952076
bp_53,4.136027811813353
bp_54,-11.020981866010807
bp_55,-0.961574701317524
rp_1,-180.8202811921997
rp_2,15.749268978503604
rp_3,7.217001668934603
rp_4,26.336387356137873
rp_5,0.6198972347996716
rp_6,-77.96879602573254
rp_7,47.8997053796021
rp_8,-63.15158715957467
rp_9,-30.453074217731512
rp_10,-63.03796424050702
rp_11,47.9360621230978
rp_12,56.29659599910957
rp_13,-2.7771254619336294
rp_14,17.30920410742357
rp_15,-51.81416573603843
rp_16,-83.42143475539693
rp_17,-34.67995723828467
rp_18,-41.717520935964046
rp_19,6.047367983345956
rp_20,-9.112329208388717
rp_21,66.38908379865332
rp_22,26.394022235541186
rp_23,46.853159844579594
rp_24,36.60411636654219
rp_25,-73.25842563727727
rp_26,-16.056042647864427
rp_27,-36.253429816566126
rp_28,-15.803557000399188
rp_29,7.559113804960331
rp_30,-33.336577267152656
rp_31,-66.27468930831562
rp_32,7.128050857407547
rp_33,17.053077270315082
rp_34,-4.947650548315632
rp_35,39.05311782196247
rp_36,3.1495124169595767
rp_37,-26.92499597678432
rp_38,-5.351270731375828
rp_39,2.4611476718220917
rp_40,-10.15770317075075
rp_41,15.566048293238863
rp_42,-24.60965027394507
rp_43,1.4169510532469929
rp_44,7.3817064122603
rp_45,-34.89160962883992
rp_46,-9.291027362566327
rp_47,19.60964885085873
rp_48,32.79267289185807
rp_49,-20.960840477475468
rp_50,4.979711561624835
rp_51,5.580925349215843
rp_52,-35.480181572024264
rp_53,5.864415574641262
rp_54,-7.716737684322856
rp_55,6.797431087170006
ebv,-0.07478760712472052
