feature,weight
BIAS,217.96739196777344
bp_1,-153.8385467529297
bp_2,1.6130335330963135
bp_3,-173.88946533203125
bp_4,21.972047805786133
bp_5,310.18707275390625
bp_6,-391.897216796875
bp_7,-133.37750244140625
bp_8,18.166812896728516
bp_9,-15.017078399658203
bp_10,-60.88008117675781
bp_11,63.22874450683594
bp_12,-43.286861419677734
bp_13,85.03703308105469
bp_14,-76.29536437988281
bp_15,-22.008020401000977
bp_16,-40.79146957397461
bp_17,89.5184326171875
bp_18,-24.140735626220703
bp_19,-96.52101135253906
bp_20,-159.581298828125
bp_21,-99.2049331665039
bp_22,195.28086853027344
bp_23,1.607169270515442
bp_24,-8.443979263305664
bp_25,60.39863967895508
bp_26,-34.76800537109375
bp_27,-75.30970001220703
bp_28,-46.099266052246094
bp_29,36.42332077026367
bp_30,-5.227930545806885
bp_31,7.060003280639648
bp_32,62.66691207885742
bp_33,-4.267444133758545
bp_34,0.6753329038619995
bp_35,14.283888816833496
bp_36,35.198036193847656
bp_37,17.898529052734375
bp_38,-55.84409713745117
bp_39,31.57972526550293
bp_40,-11.3938627243042
bp_41,18.13990592956543
bp_42,22.341672897338867
bp_43,-9.593430519104004
bp_44,-6.085083961486816
bp_45,10.954588890075684
bp_46,14.415349960327148
bp_47,-12.677517890930176
bp_48,2.2848610877990723
bp_49,-0.9512010812759399
bp_50,3.66349458694458
bp_51,3.360152006149292
bp_52,-1.0899817943572998
bp_53,1.511818766593933
bp_54,-5.093900680541992
bp_55,1.7134301662445068
rp_1,-153.8699951171875
rp_2,-15.23308277130127
rp_3,-171.64788818359375
rp_4,-62.30572509765625
rp_5,56.92154312133789
rp_6,-90.08010864257812
rp_7,207.5935516357422
rp_8,-127.8891830444336
rp_9,-110.6640625
rp_10,-53.139102935791016
rp_11,63.27183532714844
rp_12,-29.165742874145508
rp_13,34.47045135498047
rp_14,71.6943359375
rp_15,102.87067413330078
rp_16,-73.2331771850586
rp_17,-49.196632385253906
rp_18,-32.256473541259766
rp_19,1.9072866439819336
rp_20,7.570590972900391
rp_21,23.17473793029785
rp_22,-46.63168716430664
rp_23,38.10138702392578
rp_24,-55.9649658203125
rp_25,0.7584362626075745
rp_26,-42.07933807373047
rp_27,40.226688385009766
rp_28,-52.79208755493164
rp_29,-8.966710090637207
rp_30,-33.458194732666016
rp_31,1.9743915796279907
rp_32,-35.6823616027832
rp_33,-14.701260566711426
rp_34,-0.45208314061164856
rp_35,5.659553050994873
rp_36,13.654300689697266
rp_37,8.735312461853027
rp_38,-2.7999813556671143
rp_39,-17.24050521850586
rp_40,-2.102351188659668
rp_41,0.2919480502605438
rp_42,-4.20797872543335
rp_43,-3.4230618476867676
rp_44,-4.270772933959961
rp_45,-2.7890734672546387
rp_46,-3.0739872455596924
rp_47,8.036029815673828
rp_48,5.797216892242432
rp_49,-1.5676872730255127
rp_50,-7.7759270668029785
rp_51,-1.5017426013946533
rp_52,-6.258577823638916
rp_53,3.2890677452087402
rp_54,0.42074689269065857
rp_55,0.12803061306476593
ebv,14.570332527160645
