status,pair,source_domain,target_domain,seed,method,rho,lambda,run_runtime_seconds,failure_stage,failure_message,run_record_path,heldout_cross_entropy,heldout_top1_accuracy,heldout_macro_accuracy,heldout_num_examples,transductive_full_cross_entropy,transductive_full_top1_accuracy,transductive_full_macro_accuracy,transductive_full_num_examples,transductive_unqueried_cross_entropy,transductive_unqueried_top1_accuracy,transductive_unqueried_macro_accuracy,transductive_unqueried_num_examples,effective_sample_size,squared_l2_norm,max_weight,source_total_mass,query_total_mass,solver_runtime_seconds,classifier_status,classifier_fit_seconds,classifier_iterations,classifier_closure_evaluations
complete,art_to_clipart,art,clipart,0,random_regularized_wasserstein,1e-05,10.0,1.7220088932663202,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_clipart/seed_0/random_regularized_wasserstein/lambda_10/run_record.json,2.1886256843381116,0.46048109965635736,0.4501092621490335,873,2.176926288523997,0.46987399770904925,0.4619387951524168,4365,2.251617237420337,0.45100830367734285,0.4449033909570962,4215,465.618359383611,0.0021476816363594584,0.007153773921759445,0.584410481990947,0.415589518009053,0.03991306573152542,converged_objective,0.8504066988825798,100,203
complete,art_to_clipart,art,clipart,0,random_regularized_wasserstein,1e-05,100.0,2.3664363604038954,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_clipart/seed_0/random_regularized_wasserstein/lambda_100/run_record.json,2.1741751209235427,0.4639175257731959,0.45357028988846093,873,2.1525698679875753,0.4735395189003436,0.46644344960112927,4365,2.223956849887411,0.45480427046263344,0.4494363789672655,4215,1523.3535199090204,0.0006564464432784606,0.00221295134186426,0.8243040328553557,0.17569596714464433,0.5472993813455105,converged_objective,0.9904486648738384,112,227
complete,art_to_clipart,art,clipart,0,random_regularized_wasserstein,1e-05,1000.0,2.37724544480443,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_clipart/seed_0/random_regularized_wasserstein/lambda_1000/run_record.json,2.1640148375901904,0.4753722794959908,0.4640435550134288,873,2.146915734613017,0.47720504009163806,0.47167531912793575,4365,2.2131012766806677,0.4586002372479241,0.4546441565591871,4215,2533.7343643137992,0.0003946743644813081,0.0007072854391500233,0.92274110968163,0.07725889031837002,0.571336392313242,converged_objective,0.9277588445693254,107,220
complete,art_to_clipart,art,clipart,0,random_regularized_wasserstein,1e-05,10000.0,2.1987227741628885,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_clipart/seed_0/random_regularized_wasserstein/lambda_10000/run_record.json,2.1656251416506835,0.47193585337915234,0.46052419855289584,873,2.1497702455344747,0.4753722794959908,0.4699508085139081,4365,2.2138169715426823,0.45670225385527874,0.45281978988513666,4215,2576.440819436423,0.00038813233840113683,0.00042298219915233115,0.9395213231752289,0.06047867682477124,0.4244440793991089,converged_objective,0.9489365164190531,108,221
complete,art_to_clipart,art,clipart,0,random_uniform,1e-05,,1.8460248298943043,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_clipart/seed_0/random_uniform/run_record.json,2.1665368451752394,0.47079037800687284,0.45938481162403527,873,2.150788157360049,0.474914089347079,0.46923797843340853,4365,2.21445918132251,0.45622775800711746,0.4520608544931002,4215,2576.9999999999995,0.00038804811796662794,0.00038804811796662784,0.941792782305006,0.058207217694994186,2.0118430256843567e-05,converged_objective,0.9216963350772858,104,212
complete,art_to_clipart,art,clipart,0,source_only_uniform,1e-05,,6.601759362965822,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_clipart/seed_0/source_only_uniform/run_record.json,2.5557071436834544,0.38602520045819017,0.391527407986684,873,2.612389122750082,0.3835051546391753,0.39231014972480077,4365,2.612389122750082,0.3835051546391753,0.39231014972480077,4365,2427.000000000008,0.0004120313143798915,0.00041203131437989276,1.0000000000000002,0.0,2.1962448954582214e-05,converged_objective,0.7896231636404991,99,204
complete,art_to_clipart,art,clipart,0,wasserstein_hard_voronoi,1e-05,,1.4488189276307821,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_clipart/seed_0/wasserstein_hard_voronoi/run_record.json,2.18271149663146,0.49713631156930127,0.4871203857004048,873,2.2076627727332396,0.49140893470790376,0.48589151694258836,4365,2.284522099804927,0.47330960854092524,0.4702639909316926,4215,217.4094993581515,0.004599615025802718,0.01288659793814433,0.29553264604810997,0.7044673539518899,0.012320708483457565,converged_objective,0.6043137107044458,84,177
complete,art_to_clipart,art,clipart,0,wasserstein_uniform,1e-05,,1.9973014388233423,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_clipart/seed_0/wasserstein_uniform/run_record.json,2.082370957956354,0.49140893470790376,0.49033445768858963,873,2.078566003668701,0.5003436426116838,0.49981932352175223,4365,2.140719439347757,0.4825622775800712,0.4838428569752051,4215,2576.9999999999995,0.00038804811796662794,0.00038804811796662784,0.941792782305006,0.058207217694994186,2.228468656539917e-05,converged_objective,0.9691785275936127,107,219
complete,art_to_clipart,art,clipart,1,random_regularized_wasserstein,1e-05,10.0,1.757931362837553,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_clipart/seed_1/random_regularized_wasserstein/lambda_10/run_record.json,2.2730858291605345,0.4444444444444444,0.4440588902907312,873,2.2604037370601784,0.4575028636884307,0.4579985883114642,4365,2.337577740357836,0.43819691577698694,0.44039580194591493,4215,488.0587082568673,0.0020489338333323946,0.008269412163950524,0.6251388577990997,0.3748611422009005,0.03650655224919319,converged_objective,0.8881451971828938,105,220
complete,art_to_clipart,art,clipart,1,random_uniform,1e-05,,1.8258092291653156,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_clipart/seed_1/random_uniform/run_record.json,2.206486295531586,0.4627720504009164,0.4706203702095581,873,2.2176758518900215,0.4620847651775487,0.4701726275846211,4365,2.285209260713224,0.4429418742586002,0.45283210640995236,4215,2576.9999999999995,0.00038804811796662794,0.00038804811796662784,0.941792782305006,0.058207217694994186,2.0567327737808228e-05,converged_objective,0.9177314229309559,106,217
complete,art_to_clipart,art,clipart,1,source_only_uniform,1e-05,,6.032216113060713,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_clipart/seed_1/source_only_uniform/run_record.json,2.5494259428103985,0.38602520045819017,0.3976564244413733,873,2.612389122750082,0.3835051546391753,0.39231014972480077,4365,2.612389122750082,0.3835051546391753,0.39231014972480077,4365,2427.000000000008,0.0004120313143798915,0.00041203131437989276,1.0000000000000002,0.0,1.8795952200889587e-05,converged_objective,0.8816865831613541,99,204
complete,art_to_clipart,art,clipart,1,wasserstein_hard_voronoi,1e-05,,1.5495788305997849,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_clipart/seed_1/wasserstein_hard_voronoi/run_record.json,2.2826269119403593,0.4627720504009164,0.4538418511709771,873,2.2323607331057977,0.4939289805269187,0.482661555806726,4365,2.309966656809137,0.4759193357058126,0.46745212779671824,4215,209.18932272009877,0.004780358705678436,0.013172966781214206,0.2969644902634594,0.7030355097365408,0.012463387101888657,converged_objective,0.68263104185462,86,177
complete,art_to_clipart,art,clipart,1,wasserstein_uniform,1e-05,,1.8897659610956907,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_clipart/seed_1/wasserstein_uniform/run_record.json,2.073657335079504,0.4845360824742268,0.49102394258383786,873,2.0629148839460805,0.5088201603665521,0.506428437767992,4365,2.1238395617233166,0.49134045077105576,0.49106992740977096,4215,2576.9999999999995,0.00038804811796662794,0.00038804811796662784,0.941792782305006,0.058207217694994186,2.1491199731826782e-05,converged_objective,0.8977326638996601,104,214
complete,art_to_clipart,art,clipart,2,random_regularized_wasserstein,1e-05,10.0,1.6630536001175642,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_clipart/seed_2/random_regularized_wasserstein/lambda_10/run_record.json,2.2340973797581882,0.42955326460481097,0.41878021352836786,873,2.2228056953952025,0.45040091638029783,0.4392055688360766,4365,2.2989190759796054,0.43084223013048634,0.42127994934731033,4215,467.4887549980904,0.002139088885686854,0.00620509002533572,0.5933562835370935,0.40664371646290653,0.04012652300298214,converged_objective,0.7960997987538576,101,208
complete,art_to_clipart,art,clipart,2,random_uniform,1e-05,,1.9064101558178663,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_clipart/seed_2/random_uniform/run_record.json,2.1841537491279674,0.44215349369988544,0.4406229814481779,873,2.1709419070495883,0.4586483390607102,0.4548766254866213,4365,2.2360764653907763,0.43938315539739026,0.4371095635662335,4215,2576.9999999999995,0.00038804811796662794,0.00038804811796662784,0.941792782305006,0.058207217694994186,2.220459282398224e-05,converged_objective,0.9888861197978258,111,227
complete,art_to_clipart,art,clipart,2,source_only_uniform,1e-05,,5.985719095915556,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_clipart/seed_2/source_only_uniform/run_record.json,2.588046726785756,0.3848797250859107,0.3973738911587209,873,2.612389122750082,0.3835051546391753,0.39231014972480077,4365,2.612389122750082,0.3835051546391753,0.39231014972480077,4365,2427.000000000008,0.0004120313143798915,0.00041203131437989276,1.0000000000000002,0.0,1.9107013940811157e-05,converged_objective,0.8714497033506632,99,204
complete,art_to_clipart,art,clipart,2,wasserstein_hard_voronoi,1e-05,,1.4689747858792543,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_clipart/seed_2/wasserstein_hard_voronoi/run_record.json,2.277205864409306,0.47079037800687284,0.46710849627734596,873,2.2425643664519965,0.47674684994272626,0.4691274621909183,4365,2.3205187721064724,0.45812574139976275,0.45249097200735694,4215,209.9745841512553,0.004762481154765138,0.014032073310423826,0.2900916380297824,0.7099083619702176,0.012479288503527641,converged_objective,0.6003054138273001,84,174
complete,art_to_clipart,art,clipart,2,wasserstein_uniform,1e-05,,1.8390802145004272,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_clipart/seed_2/wasserstein_uniform/run_record.json,2.1198711992389474,0.48911798396334477,0.5000735038690504,873,2.0838711531579217,0.5012600229095074,0.5059005862229318,4365,2.1453259775209674,0.4835112692763938,0.489859785098909,4215,2576.9999999999995,0.00038804811796662794,0.00038804811796662784,0.941792782305006,0.058207217694994186,2.2003427147865295e-05,converged_objective,0.8485940378159285,104,217
complete,art_to_clipart,art,clipart,3,random_regularized_wasserstein,1e-05,10.0,1.8364422358572483,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_clipart/seed_3/random_regularized_wasserstein/lambda_10/run_record.json,2.172212748350745,0.4444444444444444,0.43267968860014583,873,2.178343290101698,0.45933562428407787,0.4593263007415393,4365,2.253080541281321,0.4400948991696323,0.4424150981688729,4215,479.1497145115744,0.0020870303575561116,0.005420579455366142,0.5867074444221774,0.41329255557782263,0.04003655165433884,converged_objective,0.8824750743806362,99,204
complete,art_to_clipart,art,clipart,3,random_uniform,1e-05,,1.7939620651304722,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_clipart/seed_3/random_uniform/run_record.json,2.1474266819318957,0.4639175257731959,0.4562847982638409,873,2.1569389655878983,0.4751431844215349,0.4779623528315045,4365,2.22161540886379,0.4564650059311981,0.4615278088433496,4215,2576.9999999999995,0.00038804811796662794,0.00038804811796662784,0.941792782305006,0.058207217694994186,2.0388513803482056e-05,converged_objective,0.8827066887170076,107,220
complete,art_to_clipart,art,clipart,3,source_only_uniform,1e-05,,6.0394799038767815,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_clipart/seed_3/source_only_uniform/run_record.json,2.5640994515358475,0.38144329896907214,0.38147701435924825,873,2.612389122750082,0.3835051546391753,0.39231014972480077,4365,2.612389122750082,0.3835051546391753,0.39231014972480077,4365,2427.000000000008,0.0004120313143798915,0.00041203131437989276,1.0000000000000002,0.0,1.5640631318092346e-05,converged_objective,0.7673337962478399,99,204
complete,art_to_clipart,art,clipart,3,wasserstein_hard_voronoi,1e-05,,1.5163847599178553,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_clipart/seed_3/wasserstein_hard_voronoi/run_record.json,2.2602865884177357,0.46735395189003437,0.44621107696780477,873,2.2337903179896785,0.4856815578465063,0.469399288019905,4365,2.311433956615264,0.46737841043890865,0.45345502658118797,4215,216.41401341710153,0.0046207728612872616,0.015177548682703322,0.30498281786941583,0.695017182130584,0.012601522728800774,converged_objective,0.6684478633105755,85,177
complete,art_to_clipart,art,clipart,3,wasserstein_uniform,1e-05,,1.9536951314657927,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_clipart/seed_3/wasserstein_uniform/run_record.json,2.102019252848737,0.4845360824742268,0.4729411442861074,873,2.083274481633698,0.5005727376861397,0.4941840562657481,4365,2.145139878160104,0.48279952550415184,0.4783469414613973,4215,2576.9999999999995,0.00038804811796662794,0.00038804811796662784,0.941792782305006,0.058207217694994186,2.0449981093406677e-05,converged_objective,0.9664199482649565,109,224
complete,art_to_clipart,art,clipart,4,random_regularized_wasserstein,1e-05,10.0,1.760895125567913,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_clipart/seed_4/random_regularized_wasserstein/lambda_10/run_record.json,2.3088330372157224,0.4306987399770905,0.4132321624420934,873,2.200077645840132,0.461397479954181,0.44738713036369643,4365,2.275339806562584,0.44223013048635823,0.4306567853660706,4215,468.7489468313279,0.0021333381264317477,0.005934857714480999,0.5988930090217333,0.4011069909782668,0.04075860604643822,converged_objective,0.8547373600304127,99,205
complete,art_to_clipart,art,clipart,4,random_uniform,1e-05,,1.875279102474451,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_clipart/seed_4/random_uniform/run_record.json,2.255980052999533,0.45933562428407787,0.4564426359806212,873,2.1403673847198457,0.47010309278350515,0.46615601126561773,4365,2.2047074092786967,0.4512455516014235,0.449477379696793,4215,2576.9999999999995,0.00038804811796662794,0.00038804811796662784,0.941792782305006,0.058207217694994186,2.172030508518219e-05,converged_objective,0.9558475483208895,107,218
complete,art_to_clipart,art,clipart,4,source_only_uniform,1e-05,,6.14528426900506,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_clipart/seed_4/source_only_uniform/run_record.json,2.663114673175038,0.36769759450171824,0.37500427769420386,873,2.612389122750082,0.3835051546391753,0.39231014972480077,4365,2.612389122750082,0.3835051546391753,0.39231014972480077,4365,2427.000000000008,0.0004120313143798915,0.00041203131437989276,1.0000000000000002,0.0,1.699104905128479e-05,converged_objective,0.8615814130753279,99,204
complete,art_to_clipart,art,clipart,4,wasserstein_hard_voronoi,1e-05,,1.6115392427891493,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_clipart/seed_4/wasserstein_hard_voronoi/run_record.json,2.346896943047753,0.44673539518900346,0.4425903067454628,873,2.246984154391894,0.48018327605956473,0.4786210084934956,4365,2.325096074412772,0.4616844602609727,0.4626216414896751,4215,212.5067791293437,0.004705732231682563,0.015463917525773195,0.30698739977090495,0.693012600229095,0.012602370232343674,converged_objective,0.7352153323590755,87,179
complete,art_to_clipart,art,clipart,4,wasserstein_uniform,1e-05,,1.8836027029901743,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_clipart/seed_4/wasserstein_uniform/run_record.json,2.2110043870202345,0.47995418098510884,0.4876804601685526,873,2.083901113714731,0.5092783505154639,0.5131724260811541,4365,2.1453968185480012,0.4918149466192171,0.49702945625375256,4215,2576.9999999999995,0.00038804811796662794,0.00038804811796662784,0.941792782305006,0.058207217694994186,2.1502375602722168e-05,converged_objective,0.8929108157753944,102,208
complete,art_to_product,art,product,0,random_regularized_wasserstein,1e-05,10.0,1.619393479079008,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_product/seed_0/random_regularized_wasserstein/lambda_10/run_record.json,0.9052751547306613,0.7668918918918919,0.736611925689087,888,0.902698341246558,0.7726965532777652,0.7563939430959898,4439,0.9320414360724141,0.7647470272790861,0.748460961391749,4289,482.5769590102635,0.0020722083417553548,0.00831265825816191,0.6197337734440365,0.3802662265559636,0.039865707978606224,converged_objective,0.7373026870191097,91,192
complete,art_to_product,art,product,0,random_regularized_wasserstein,1e-05,100.0,2.1181400306522846,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_product/seed_0/random_regularized_wasserstein/lambda_100/run_record.json,0.9117565793101379,0.7702702702702703,0.7441979018044748,888,0.9393980266475299,0.7672899301644515,0.7550103904170297,4439,0.9688506511603262,0.7591513173233854,0.7469504427616982,4289,1517.938454598169,0.0006587882380677427,0.0023357690934776693,0.8282756477219689,0.17172435227803112,0.4471490979194641,converged_objective,0.8348869904875755,100,204
complete,art_to_product,art,product,0,random_regularized_wasserstein,1e-05,1000.0,2.292000576853752,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_product/seed_0/random_regularized_wasserstein/lambda_1000/run_record.json,0.9441248254924328,0.7545045045045045,0.7298879034357719,888,0.9755593804079791,0.7533228204550575,0.7417138831688717,4439,1.0038665703770953,0.7446957332711588,0.7330835990682685,4289,2530.6823828905594,0.0003951503384070641,0.0007490680746443493,0.9238832166999855,0.0761167833000144,0.5600672569125891,converged_objective,0.8934368286281824,104,216
complete,art_to_product,art,product,0,random_regularized_wasserstein,1e-05,10000.0,2.189988262951374,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_product/seed_0/random_regularized_wasserstein/lambda_10000/run_record.json,0.9558847948962803,0.7545045045045045,0.7298879034357719,888,0.988121549034273,0.7512953367875648,0.7397318513074952,4439,1.0158600132052567,0.7425973420377711,0.7309933241784345,4289,2576.423949652644,0.0003881348797952375,0.0004265592887903187,0.939723205433576,0.060276794566424055,0.4014887139201164,converged_objective,0.9502145405858755,109,223
complete,art_to_product,art,product,0,random_uniform,1e-05,,1.8616319596767426,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_product/seed_0/random_uniform/run_record.json,0.9580187558102083,0.7533783783783784,0.7284893020371705,888,0.9903508379782355,0.7512953367875648,0.7396173824430262,4439,1.017994915737078,0.7425973420377711,0.7308703672133723,4289,2576.9999999999995,0.00038804811796662794,0.00038804811796662784,0.941792782305006,0.058207217694994186,2.132914960384369e-05,converged_objective,0.9424702133983374,108,222
complete,art_to_product,art,product,0,source_only_uniform,1e-05,,1.6450161933898926,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_product/seed_0/source_only_uniform/run_record.json,1.2149101378352138,0.6813063063063063,0.6664844738231259,888,1.2875839444162633,0.668168506420365,0.6616806600728523,4439,1.2875839444162633,0.668168506420365,0.6616806600728523,4439,2427.000000000008,0.0004120313143798915,0.00041203131437989276,1.0000000000000002,0.0,1.7823651432991028e-05,converged_objective,0.8254642430692911,99,204
