rho,fold,train_examples,validation_examples,validation_cross_entropy,validation_top1_accuracy,validation_macro_accuracy,optimization_status,accepted_iterations,closure_evaluations,final_gradient_inf_norm
1e-05,0,1618,809,1.008567091435406,0.7391841779975278,0.6742653115350341,converged_objective,104,211,1.2570985745696817e-05
1e-05,1,1618,809,0.9672314106652979,0.7441285537700866,0.6792355433055807,converged_objective,99,203,3.492116775305476e-06
1e-05,2,1618,809,0.9522919667261193,0.7330037082818294,0.6681535738254212,converged_objective,99,202,1.137060098699294e-05
0.0001,0,1618,809,1.3463936936445569,0.7354758961681088,0.6659381025449292,converged_objective,56,115,6.628528808505507e-06
0.0001,1,1618,809,1.3142298865457172,0.7292954264524104,0.6514188150363637,converged_objective,55,114,1.6741696526878513e-05
0.0001,2,1618,809,1.2925296839045595,0.73053152039555,0.6520233148857976,converged_objective,56,117,5.275521289149765e-06
0.001,0,1618,809,2.6836925241845946,0.5339925834363412,0.36990053639935594,converged_objective,26,56,4.917557816952467e-06
0.001,1,1618,809,2.6702199223794216,0.515451174289246,0.350451897054789,converged_objective,25,55,2.76682258117944e-05
0.001,2,1618,809,2.66396054950036,0.5315203955500618,0.37017227242340367,converged_objective,26,55,3.911321982741356e-06
0.01,0,1618,809,3.839764752381268,0.2138442521631644,0.0990612297401595,converged_objective,10,22,1.91638246178627e-05
0.01,1,1618,809,3.838023157044663,0.22373300370828184,0.1047499255941121,converged_objective,9,22,2.9596500098705292e-05
0.01,2,1618,809,3.8365516084330897,0.21508034610630408,0.09944312447558563,converged_objective,9,22,2.1385960280895233e-05
0.1,0,1618,809,4.104334824719261,0.06798516687268233,0.02666666666666667,converged_objective,6,18,4.071742296218872e-06
0.1,1,1618,809,4.104229925352656,0.06551297898640297,0.02564102564102564,converged_gradient,5,12,2.5890767574310303e-07
0.1,2,1618,809,4.103946869360485,0.07169344870210136,0.02820512820512821,converged_gradient,5,12,2.123415470123291e-07
