rho,fold,train_examples,validation_examples,validation_cross_entropy,validation_top1_accuracy,validation_macro_accuracy,optimization_status,accepted_iterations,closure_evaluations,final_gradient_inf_norm
1e-05,0,2910,1455,1.1517237973326786,0.7058419243986255,0.684545740721727,converged_objective,124,257,2.2246067601372488e-05
1e-05,1,2910,1455,1.1902563375619561,0.7003436426116838,0.6938904386776843,converged_objective,122,254,1.736246849759482e-05
1e-05,2,2910,1455,1.196282741427884,0.6879725085910653,0.6758650608793683,converged_objective,122,254,1.3087215847917832e-05
0.0001,0,2910,1455,1.6427162190963511,0.6639175257731958,0.6307526069167759,converged_objective,59,125,4.575910134008154e-05
0.0001,1,2910,1455,1.6759849998578404,0.6474226804123712,0.6310641128131124,converged_objective,58,122,3.957075750804506e-05
0.0001,2,2910,1455,1.683188258758302,0.6439862542955327,0.6210577103179354,converged_objective,57,121,5.341682845028117e-05
0.001,0,2910,1455,3.068706289189467,0.44810996563573885,0.359895624880479,converged_objective,20,45,2.6558496756479144e-05
0.001,1,2910,1455,3.0797380909480787,0.44536082474226807,0.3632090763189686,converged_objective,21,48,2.954983210656792e-05
0.001,2,2910,1455,3.087636820612562,0.4316151202749141,0.34858431275975726,converged_objective,21,48,3.920063318219036e-05
0.01,0,2910,1455,3.971435162812376,0.2948453608247423,0.20202976510668816,converged_objective,8,19,3.5009579733014107e-06
0.01,1,2910,1455,3.972682682326871,0.27560137457044676,0.1879433387125695,converged_objective,9,20,5.043693818151951e-06
0.01,2,2910,1455,3.973751155391395,0.281786941580756,0.19261428386428386,converged_objective,9,20,4.345783963799477e-06
0.1,0,2910,1455,4.1365641172489775,0.26941580756013744,0.18275058275058276,converged_gradient,3,8,9.73232090473175e-07
0.1,1,2910,1455,4.136691331224308,0.2618556701030928,0.17762237762237765,converged_gradient,4,10,4.587927833199501e-07
0.1,2,2910,1455,4.136827714926518,0.26872852233676975,0.18248834498834499,converged_gradient,4,10,4.555913619697094e-07
