rho,fold,train_examples,validation_examples,validation_cross_entropy,validation_top1_accuracy,validation_macro_accuracy,optimization_status,accepted_iterations,closure_evaluations,final_gradient_inf_norm
1e-05,0,2959,1480,0.3853889886153179,0.9087837837837838,0.9012120351549607,converged_objective,90,183,1.7339181795250624e-05
1e-05,1,2959,1480,0.4047300613696341,0.9054054054054054,0.9004892941049535,converged_objective,87,179,2.2445521608460695e-05
1e-05,2,2960,1479,0.37534773286362544,0.9168356997971603,0.906630499204434,converged_objective,92,190,2.1363644918892533e-05
0.0001,0,2959,1480,0.7418623621346867,0.8878378378378379,0.8755196467529678,converged_objective,52,110,1.0550276783760637e-05
0.0001,1,2959,1480,0.7703798747103329,0.8844594594594595,0.8711507841724637,converged_objective,52,110,4.682020517066121e-06
0.0001,2,2960,1479,0.7592486135192578,0.8864097363083164,0.8660780728471189,converged_objective,49,104,5.008695734431967e-05
0.001,0,2959,1480,2.2038181767125877,0.7452702702702703,0.6704348782352297,converged_objective,21,47,5.649450758937746e-05
0.001,1,2959,1480,2.230814689864475,0.7236486486486486,0.6511712246005704,converged_objective,20,46,3.7352318031480536e-05
0.001,2,2960,1479,2.222257388207492,0.7457741717376606,0.6698353958335137,converged_objective,24,54,4.078123311046511e-06
0.01,0,2959,1480,3.8323762224053564,0.43243243243243246,0.32391403793455587,converged_objective,8,42,1.2329197488725185e-05
0.01,1,2959,1480,3.836449116258341,0.42567567567567566,0.31969839556957913,converged_objective,8,19,6.113317795097828e-06
0.01,2,2960,1479,3.8351086149913924,0.4374577417173766,0.3265496867924314,converged_objective,8,23,3.67721077054739e-06
0.1,0,2959,1480,4.126573450512577,0.30675675675675673,0.2153854645539851,converged_gradient,3,8,6.663613021373749e-07
0.1,1,2959,1480,4.127041821065679,0.31148648648648647,0.2199226390747953,converged_gradient,3,8,7.017515599727631e-07
0.1,2,2960,1479,4.126895285207129,0.29749830966869506,0.20882293781487332,converged_gradient,3,8,6.793998181819916e-07
