rho,fold,train_examples,validation_examples,validation_cross_entropy,validation_top1_accuracy,validation_macro_accuracy,optimization_status,accepted_iterations,closure_evaluations,final_gradient_inf_norm
1e-05,0,2904,1453,0.5540358205964259,0.8410185822436339,0.8215056611270752,converged_objective,98,204,4.662281753553543e-06
1e-05,1,2905,1452,0.5380308635931729,0.8505509641873278,0.8329904142097663,converged_objective,101,211,1.813870039768517e-05
1e-05,2,2905,1452,0.5636125238465224,0.8519283746556474,0.8372518293782021,converged_objective,97,204,1.1574317795748357e-05
0.0001,0,2904,1453,0.8747142423852954,0.8327598072952512,0.8113743735915443,converged_objective,55,117,2.1370720787672326e-05
0.0001,1,2905,1452,0.8731212246836427,0.8457300275482094,0.8228033083417552,converged_objective,55,118,4.3919175368500873e-05
0.0001,2,2905,1452,0.8871356050518392,0.8512396694214877,0.8301012390052074,converged_objective,58,127,3.2287745852954686e-05
0.001,0,2904,1453,2.331085443776948,0.7391603578802478,0.692985249494278,converged_objective,22,49,2.8614129405468702e-05
0.001,1,2905,1452,2.3367403596588705,0.7637741046831956,0.7148590590639774,converged_objective,22,49,2.7380490791983902e-05
0.001,2,2905,1452,2.330560770575106,0.7637741046831956,0.7166960890223316,converged_objective,22,49,3.150725387968123e-05
0.01,0,2904,1453,3.8735601761257104,0.38059187887130075,0.31079810433226995,converged_objective,8,27,5.009118467569351e-06
0.01,1,2905,1452,3.8738473794292965,0.38980716253443526,0.31975346193986215,converged_objective,7,18,1.4136778190732002e-05
0.01,2,2905,1452,3.873680204867474,0.38016528925619836,0.3109154178300759,converged_objective,8,24,7.803086191415787e-06
0.1,0,2904,1453,4.136548108380063,0.11562284927735719,0.081857286710735,converged_objective,5,18,1.0482966899871826e-05
0.1,1,2905,1452,4.136564767342915,0.11776859504132231,0.08301926234684856,converged_gradient,4,10,4.470348358154297e-08
0.1,2,2905,1452,4.136618235567086,0.12741046831955924,0.09163012434564158,converged_gradient,4,10,1.234002411365509e-07
