iteration,closure_evaluations,objective,weighted_cross_entropy,l2_penalty,gradient_inf_norm,relative_objective_change
0,0,4.174387454986572,4.174387454986572,0.0,0.024196309968829155,
1,5,3.992201089859009,3.9921555519104004,4.5512406359193847e-05,0.010720960795879364,0.0436438560368732
2,7,3.8636441230773926,3.863467216491699,0.00017695136193651706,0.009539023973047733,0.032202026873890864
3,9,3.4673917293548584,3.4655277729034424,0.0018638849724084139,0.0662907287478447,0.10255923710875295
4,11,3.0295748710632324,3.0186877250671387,0.010887115262448788,0.02757493406534195,0.12626691544110188
5,13,2.75846791267395,2.7413840293884277,0.017083875834941864,0.028743058443069458,0.0894867992795758
6,15,2.276139259338379,2.231898784637451,0.04424046725034714,0.04694565013051033,0.1748538205282297
7,17,1.9050517082214355,1.8414313793182373,0.06362035125494003,0.044569727033376694,0.16303376412250362
8,19,1.6145542860031128,1.5280723571777344,0.08648189902305603,0.024117005988955498,0.15248794610910188
9,21,1.4245004653930664,1.314552664756775,0.1099478080868721,0.02009444497525692,0.1177128711358052
10,23,1.2880055904388428,1.1595070362091064,0.12849856913089752,0.008915678597986698,0.09581946673254348
11,25,1.1932768821716309,1.0506681203842163,0.14260870218276978,0.006883406080305576,0.07354681452503356
12,28,1.089118480682373,0.9188911318778992,0.1702273190021515,0.013588418252766132,0.08728770585054924
13,30,1.0398248434066772,0.8515138626098633,0.18831099569797516,0.012577219866216183,0.045260123806559145
14,32,1.0080064535140991,0.8183441162109375,0.18966235220432281,0.004011252894997597,0.030599759271315946
15,34,0.9975502490997314,0.8005421161651611,0.19700811803340912,0.01159658096730709,0.010373152253058886
16,36,0.9834001660346985,0.7865160703659058,0.19688409566879272,0.0029919343069195747,0.014150083065032959
17,38,0.9672092199325562,0.7699880003929138,0.19722120463848114,0.004364560823887587,0.016190946102142334
18,40,0.9213927388191223,0.7222580909729004,0.19913464784622192,0.005951284896582365,0.04581648111343384
19,42,0.844419002532959,0.6332012414932251,0.2112177461385727,0.0078024594113230705,0.07697373628616333
20,44,0.8303865194320679,0.5891650319099426,0.24122147262096405,0.016078980639576912,0.014032483100891113
21,46,0.7618775963783264,0.5166935920715332,0.2451840043067932,0.008711185306310654,0.06850892305374146
