iteration,closure_evaluations,objective,weighted_cross_entropy,l2_penalty,gradient_inf_norm,relative_objective_change
0,0,4.1743879318237305,4.1743879318237305,0.0,0.021960414946079254,
1,5,4.013608455657959,4.013526916503906,8.150062058120966e-05,0.04912467673420906,0.038515700694719386
2,7,3.8996505737304688,3.8994715213775635,0.00017914870113600045,0.015409927815198898,0.028392874687824747
3,9,3.6167821884155273,3.6158199310302734,0.0009622886427678168,0.023282021284103394,0.07253685425572501
4,11,2.7055771350860596,2.694331645965576,0.011245385743677616,0.04307667165994644,0.2519380504162062
5,13,2.314664840698242,2.246248722076416,0.06841610372066498,0.08378010243177414,0.14448388453555702
6,15,1.8649377822875977,1.7812223434448242,0.08371538668870926,0.032315414398908615,0.19429467735595785
7,17,1.6666206121444702,1.586228609085083,0.08039195090532303,0.018470944836735725,0.10633983183067089
8,19,1.4398260116577148,1.3655190467834473,0.07430701702833176,0.031110014766454697,0.13608052056606618
9,21,1.3011932373046875,1.2192063331604004,0.0819869190454483,0.011912956833839417,0.09628439355211764
10,23,1.1957520246505737,1.097796082496643,0.09795599430799484,0.009828613139688969,0.08103424582233949
11,25,1.0795869827270508,0.9494361877441406,0.13015073537826538,0.019439302384853363,0.09714810389509401
12,27,0.989381730556488,0.8313953280448914,0.15798640251159668,0.008266673423349857,0.08355533515484144
13,30,0.9284535050392151,0.751616358757019,0.17683716118335724,0.011684526689350605,0.06092822551727295
14,32,0.8768109083175659,0.6924125552177429,0.184398353099823,0.006392662413418293,0.05164259672164917
15,34,0.8528093099594116,0.6666725277900696,0.18613679707050323,0.024909930303692818,0.024001598358154297
16,36,0.8160485029220581,0.6417560577392578,0.1742924153804779,0.00673143845051527,0.036760807037353516
17,38,0.8028197884559631,0.621678352355957,0.1811414361000061,0.019878221675753593,0.01322871446609497
18,40,0.7941411733627319,0.5933594703674316,0.2007817178964615,0.01409140881150961,0.008678615093231201
19,42,0.7691402435302734,0.5746575593948364,0.19448266923427582,0.003118297317996621,0.025000929832458496
20,44,0.7574883103370667,0.5658680200576782,0.19162027537822723,0.0032897694036364555,0.011651933193206787
