iteration,closure_evaluations,objective,weighted_cross_entropy,l2_penalty,gradient_inf_norm,relative_objective_change
0,0,4.174387454986572,4.174387454986572,0.0,0.02380826137959957,
1,5,3.9904062747955322,3.9903616905212402,4.470181738724932e-05,0.009618373587727547,0.04407381494289965
2,7,3.8509232997894287,3.850734233856201,0.00018905273464042693,0.009944671764969826,0.034954579910099655
3,9,3.441021203994751,3.4390459060668945,0.001975264633074403,0.07995554059743881,0.10644254997680465
4,11,2.984408140182495,2.9727883338928223,0.011619780212640762,0.02561635710299015,0.13269696312308815
5,13,2.725515604019165,2.707822561264038,0.017693014815449715,0.02610299363732338,0.08674836818649707
6,15,2.1718924045562744,2.1258859634399414,0.04600641876459122,0.04747664928436279,0.20312604288395691
7,17,1.8192365169525146,1.7493537664413452,0.06988271325826645,0.05326264351606369,0.16237263266999116
8,19,1.5443222522735596,1.4534938335418701,0.09082835912704468,0.02995140850543976,0.15111518602291274
9,21,1.3077507019042969,1.192706823348999,0.11504388600587845,0.022373715415596962,0.15318794378633138
10,23,1.133461356163025,0.9923406839370728,0.14112065732479095,0.013680428266525269,0.13327413664353494
11,25,1.040535569190979,0.8861088752746582,0.1544266790151596,0.006628796923905611,0.08198408041595416
12,27,0.9652496576309204,0.794684648513794,0.17056500911712646,0.006198420654982328,0.07235303990481913
13,30,0.9392573237419128,0.7565863132476807,0.18267099559307098,0.00942925177514553,0.02599233388900757
14,32,0.9009026288986206,0.706573486328125,0.1943291574716568,0.007215591613203287,0.038354694843292236
15,35,0.8864622712135315,0.6850201487541199,0.20144212245941162,0.005291548557579517,0.014440357685089111
16,37,0.873223602771759,0.6711089611053467,0.20211462676525116,0.00293419836089015,0.013238668441772461
17,39,0.8555822968482971,0.6491823196411133,0.20639999210834503,0.004447407089173794,0.017641305923461914
18,41,0.7966388463973999,0.5742307305335999,0.22240810096263885,0.008740526624023914,0.05894345045089722
19,43,0.7361122369766235,0.48278868198394775,0.2533235549926758,0.018829794600605965,0.06052660942077637
20,45,0.6904569864273071,0.41343367099761963,0.2770232856273651,0.011399754323065281,0.045655250549316406
21,47,0.6587281227111816,0.38440096378326416,0.27432718873023987,0.009447263553738594,0.03172886371612549
22,49,0.6243970394134521,0.36831313371658325,0.2560839056968689,0.004372899420559406,0.03433108329772949
23,51,0.6133482456207275,0.3623819649219513,0.25096625089645386,0.004067531321197748,0.01104879379272461
24,53,0.6032636165618896,0.3577028810977936,0.24556073546409607,0.003101074369624257,0.01008462905883789
25,55,0.5894759297370911,0.3529258966445923,0.23655004799365997,0.0022132403682917356,0.013787686824798584
26,57,0.5796225070953369,0.3486008644104004,0.23102165758609772,0.0037008316721767187,0.00985342264175415
27,59,0.5688688158988953,0.3360297381877899,0.23283906280994415,0.004888930357992649,0.01075369119644165
28,61,0.5444698333740234,0.30292391777038574,0.2415459305047989,0.007332745473831892,0.024398982524871826
29,63,0.5283932685852051,0.2726336121559143,0.25575965642929077,0.006945495959371328,0.01607656478881836
30,65,0.5128937363624573,0.23885737359523773,0.27403637766838074,0.00478320149704814,0.015499532222747803
31,67,0.5052708387374878,0.22787046432495117,0.2774003744125366,0.002430098131299019,0.007622897624969482
32,69,0.5012991428375244,0.22778576612472534,0.2735133469104767,0.0010397890582680702,0.003971695899963379
33,71,0.4990229606628418,0.23052392899990082,0.2684990167617798,0.0013194208731874824,0.002276182174682617
34,73,0.49531322717666626,0.23467744886875153,0.2606357932090759,0.002661281730979681,0.003709733486175537
35,75,0.4900270998477936,0.2345806360244751,0.2554464638233185,0.0036307056434452534,0.005286127328872681
36,77,0.48331743478775024,0.22807201743125916,0.2552454173564911,0.004044912755489349,0.006709665060043335
37,79,0.4768652319908142,0.21417804062366486,0.26268720626831055,0.0027304477989673615,0.006452202796936035
38,81,0.4724193811416626,0.20048841834068298,0.2719309628009796,0.002045036293566227,0.004445850849151611
39,83,0.4701749086380005,0.1937982439994812,0.2763766646385193,0.0006157168536446989,0.0022444725036621094
40,85,0.4690934419631958,0.19237934052944183,0.2767140865325928,0.0004988135769963264,0.0010814666748046875
