iteration,closure_evaluations,objective,weighted_cross_entropy,l2_penalty,gradient_inf_norm,relative_objective_change
0,0,4.174387454986572,4.174387454986572,0.0,0.012205680832266808,
1,4,4.141053199768066,4.141051769256592,1.3163152061679284e-06,0.009905055165290833,0.007985424347394002
2,6,3.937358856201172,3.9371838569641113,0.00017511816986370832,0.012727431021630764,0.04918901876901826
3,8,3.783263921737671,3.782642126083374,0.0006216926267370582,0.008286558091640472,0.03913662434421187
4,10,3.299208879470825,3.290983200073242,0.008225674740970135,0.120250403881073,0.1279464114268076
5,12,2.900075674057007,2.874119758605957,0.02595590241253376,0.02562834322452545,0.12097845877458875
6,14,2.6837456226348877,2.6526684761047363,0.031077194958925247,0.01453142799437046,0.07459462294633444
7,16,2.3309216499328613,2.2855334281921387,0.04538821801543236,0.014714276418089867,0.13146699513034532
8,18,2.1081550121307373,2.0447235107421875,0.06343142688274384,0.01455161813646555,0.09557019550980637
9,20,1.8673012256622314,1.7809162139892578,0.08638503402471542,0.016595831140875816,0.11424861316297234
10,22,1.761682152748108,1.6389553546905518,0.12272674590349197,0.03430749103426933,0.05656241824436554
11,24,1.6377427577972412,1.5060396194458008,0.13170313835144043,0.008918626233935356,0.07035286970327162
12,26,1.5782743692398071,1.4444656372070312,0.1338087022304535,0.007317195180803537,0.036311190065904414
13,29,1.490888237953186,1.3528838157653809,0.1380043774843216,0.02008489891886711,0.055368149537086866
14,31,1.470444917678833,1.3276578187942505,0.1427871584892273,0.013709846884012222,0.013712174899454099
15,33,1.446578025817871,1.2982691526412964,0.14830882847309113,0.005133047234266996,0.01623106828009371
16,35,1.4323314428329468,1.2803568840026855,0.15197455883026123,0.0037375646643340588,0.009848471863015847
17,37,1.4110841751098633,1.2564160823822021,0.15466812252998352,0.00442464929074049,0.014834044054118815
18,39,1.3706525564193726,1.2114062309265137,0.15924637019634247,0.009215339086949825,0.028652875146404945
19,41,1.2820651531219482,1.10695481300354,0.1751103699207306,0.011419316753745079,0.06463155296543263
20,44,1.2267122268676758,1.0324158668518066,0.19429640471935272,0.02756856381893158,0.043174815351219024
21,46,1.1708489656448364,0.9595320224761963,0.21131694316864014,0.0059557282365858555,0.04553901069811809
22,48,1.1400161981582642,0.9220918416976929,0.2179243117570877,0.004758764058351517,0.02633368469484136
23,50,1.1196131706237793,0.8960481882095337,0.22356492280960083,0.004644280765205622,0.017897138275268953
24,52,1.110173225402832,0.884797215461731,0.2253759652376175,0.0045338841155171394,0.008431434596011327
25,54,1.1018941402435303,0.8768256902694702,0.22506850957870483,0.003742360044270754,0.007457471473695152
26,56,1.0799031257629395,0.8582417964935303,0.2216612994670868,0.0058144195936620235,0.01995746567427119
