iteration,closure_evaluations,objective,weighted_cross_entropy,l2_penalty,gradient_inf_norm,relative_objective_change
0,0,4.174387454986572,4.174387454986572,0.0,0.008092685602605343,
1,5,4.049332141876221,4.04929256439209,3.944509080611169e-05,0.002781221643090248,0.029957763733925804
2,7,3.9422740936279297,3.9421041011810303,0.00017002769163809717,0.0038332189433276653,0.026438445772612434
3,9,3.4484591484069824,3.445415496826172,0.003043546574190259,0.012004508636891842,0.12526144390090024
4,11,2.9239845275878906,2.9068775177001953,0.017106948420405388,0.025541182607412338,0.15208955601558252
5,14,2.708111524581909,2.677584648132324,0.03052695468068123,0.030138077214360237,0.07382836706870796
6,16,2.473543167114258,2.4314751625061035,0.042068008333444595,0.011586825363337994,0.08661694887320606
7,18,2.064347743988037,1.9881759881973267,0.0761718600988388,0.016228439286351204,0.1654288587183242
8,20,1.7698074579238892,1.6492669582366943,0.120540551841259,0.029039589688181877,0.1426795882243834
9,22,1.6475406885147095,1.5087740421295166,0.13876666128635406,0.015941228717565536,0.0690847859532739
10,24,1.5861876010894775,1.4529298543930054,0.13325777649879456,0.008362703025341034,0.037239194062359066
11,26,1.55552339553833,1.4235813617706299,0.1319420039653778,0.0036175688728690147,0.019332016925416428
12,28,1.5367870330810547,1.4041342735290527,0.13265271484851837,0.004787595011293888,0.012045053459829947
13,30,1.5172843933105469,1.3802781105041504,0.1370062530040741,0.004817076493054628,0.012690528583786656
14,32,1.4814212322235107,1.3357391357421875,0.14568209648132324,0.008303526788949966,0.023636413348183644
15,34,1.3967233896255493,1.2281180620193481,0.16860537230968475,0.009054380469024181,0.05717336889443378
16,36,1.3621623516082764,1.1527504920959473,0.2094118446111679,0.036961380392313004,0.02474436833662426
17,38,1.2803796529769897,1.0684443712234497,0.21193525195121765,0.007553636562079191,0.06003887754989522
18,40,1.2445768117904663,1.0408514738082886,0.20372538268566132,0.0054719713516533375,0.027962675838591185
19,42,1.2088065147399902,1.007662296295166,0.2011442333459854,0.007773308549076319,0.02874093162559923
20,44,1.195139765739441,0.990370512008667,0.20476920902729034,0.003514485200867057,0.011305985560053822
21,46,1.1814751625061035,0.9683591723442078,0.21311599016189575,0.007023283746093512,0.011433477175686662
22,48,1.1690928936004639,0.9517425894737244,0.21735024452209473,0.008400858379900455,0.010480346348860026
23,50,1.1159276962280273,0.8795040845870972,0.23642364144325256,0.007186270784586668,0.0454755970748426
24,52,1.096773624420166,0.8391808271408081,0.2575927972793579,0.02422754466533661,0.01716425882483645
25,54,1.0636557340621948,0.8016101121902466,0.26204559206962585,0.003321296302601695,0.030195739230581612
26,56,1.0530574321746826,0.7949550151824951,0.2581023871898651,0.0022889352403581142,0.009964033989678558
27,58,1.0438393354415894,0.7851498126983643,0.2586895525455475,0.002573120640590787,0.008753650514632283
28,60,1.0347590446472168,0.7710851430892944,0.2636738717556,0.0035478295758366585,0.008698935253796699
29,62,1.0252808332443237,0.7581597566604614,0.2671210765838623,0.0030544032342731953,0.009159824648959217
30,64,1.0116331577301025,0.7392672300338745,0.27236589789390564,0.003692548256367445,0.01331115833994037
31,66,0.9887790083885193,0.7038308382034302,0.2849481701850891,0.006302191875874996,0.022591340711748988
32,68,0.9725093245506287,0.6794171333312988,0.29309219121932983,0.006319108884781599,0.016269683837890625
33,70,0.9597963094711304,0.6663146018981934,0.2934816777706146,0.002988605760037899,0.012713015079498291
34,72,0.9532791972160339,0.6577059626579285,0.29557323455810547,0.0020422765519469976,0.0065171122550964355
35,74,0.9498347043991089,0.651364266872406,0.29847046732902527,0.0012828181497752666,0.003444492816925049
36,76,0.9418597221374512,0.6327517032623291,0.3091079890727997,0.0019285110756754875,0.007974982261657715
37,78,0.9310016632080078,0.6044629812240601,0.32653865218162537,0.004133068956434727,0.01085805892944336
38,80,0.9212485551834106,0.5732191801071167,0.34802937507629395,0.002989186905324459,0.009753108024597168
39,82,0.9129636287689209,0.5646365284919739,0.3483271300792694,0.001885297242552042,0.008284926414489746
40,84,0.9054508209228516,0.5674502849578857,0.33800050616264343,0.0015688682906329632,0.007512807846069336
41,86,0.9030811786651611,0.568690299987793,0.3343908488750458,0.0012073044199496508,0.0023696422576904297
42,88,0.899665117263794,0.5708012580871582,0.32886385917663574,0.0012274530017748475,0.0034160614013671875
43,90,0.8959171772003174,0.5687152743339539,0.32720187306404114,0.0013120456133037806,0.0037479400634765625
44,92,0.8900582790374756,0.5618458390235901,0.3282124102115631,0.0021188179962337017,0.005858898162841797
45,94,0.8844094276428223,0.5477173328399658,0.33669206500053406,0.002311976160854101,0.00564885139465332
46,96,0.8804112672805786,0.5319786071777344,0.3484326899051666,0.0013256754027679563,0.003998160362243652
47,98,0.8785761594772339,0.5229072570800781,0.35566890239715576,0.0005273233982734382,0.0018351078033447266
48,100,0.8775641918182373,0.5186142921447754,0.3589498698711395,0.0005044748540967703,0.001011967658996582
49,102,0.8750817775726318,0.5097678899765015,0.365313857793808,0.0010331866797059774,0.0024824142456054688
50,104,0.8719365000724792,0.49941688776016235,0.3725196123123169,0.0020286166109144688,0.003145277500152588
51,106,0.868367075920105,0.4926363229751587,0.3757307827472687,0.0014533203793689609,0.0035694241523742676
52,108,0.8655037879943848,0.49195703864097595,0.3735467195510864,0.0008851083694025874,0.002863287925720215
53,110,0.8642037510871887,0.49732840061187744,0.3668753504753113,0.0005653659463860095,0.001300036907196045
54,112,0.8635456562042236,0.49796023964881897,0.3655853867530823,0.0004187228623777628,0.0006580948829650879
55,114,0.8626309037208557,0.49766919016838074,0.364961713552475,0.0007027118117548525,0.0009147524833679199
56,116,0.8610323667526245,0.4954318106174469,0.3656005263328552,0.0011983601143583655,0.0015985369682312012
57,118,0.8588714003562927,0.48987579345703125,0.3689956068992615,0.0015733466716483235,0.002160966396331787
58,120,0.8576440215110779,0.4812021851539612,0.3764418363571167,0.0014581731520593166,0.0012273788452148438
59,122,0.8564085364341736,0.4793405830860138,0.3770679533481598,0.0003661193186417222,0.0012354850769042969
60,124,0.8560463190078735,0.4786040186882019,0.37744227051734924,0.00017806589312385768,0.00036221742630004883
61,126,0.8557586669921875,0.47770845890045166,0.37805017828941345,0.00032469601137563586,0.00028765201568603516
62,128,0.8548749685287476,0.47525691986083984,0.3796180784702301,0.0007867957465350628,0.0008836984634399414
63,130,0.8537001013755798,0.47212350368499756,0.3815765976905823,0.0010621477849781513,0.0011748671531677246
64,132,0.8533498048782349,0.4692453444004059,0.38410449028015137,0.002225290285423398,0.0003502964973449707
65,134,0.8521254062652588,0.4688991606235504,0.383226215839386,0.0004718501877505332,0.0012243986129760742
66,136,0.8518840670585632,0.46957141160964966,0.3823126554489136,0.00016107088595163077,0.00024133920669555664
67,138,0.8517355918884277,0.4696176052093506,0.38211798667907715,0.00020601479627657682,0.00014847517013549805
68,140,0.8514795303344727,0.4692281186580658,0.3822513818740845,0.0004926847177557647,0.0002560615539550781
69,142,0.8509551286697388,0.46825161576271057,0.3827035427093506,0.0007936669862829149,0.0005244016647338867
70,144,0.8504660129547119,0.4655940532684326,0.3848719298839569,0.000855982128996402,0.0004891157150268555
71,146,0.849929690361023,0.4644262194633484,0.38550347089767456,0.0004683860170189291,0.0005363225936889648
72,148,0.8497068881988525,0.4639708399772644,0.38573601841926575,0.00016868612146936357,0.00022280216217041016
73,150,0.849624514579773,0.463640034198761,0.38598451018333435,0.00014560572162736207,8.237361907958984e-05
74,152,0.8494952917098999,0.4632057845592499,0.38628950715065,0.0003230005095247179,0.00012922286987304688
75,154,0.8491950631141663,0.46232354640960693,0.3868715167045593,0.0005407484713941813,0.0003002285957336426
76,156,0.8488491177558899,0.461012065410614,0.3878370523452759,0.0005641015595756471,0.0003459453582763672
77,158,0.8485875129699707,0.46028441190719604,0.38830310106277466,0.000458197871921584,0.00026160478591918945
78,160,0.8484373092651367,0.46022534370422363,0.3882119357585907,9.529785893391818e-05,0.00015020370483398438
79,162,0.8483791351318359,0.46032214164733887,0.38805699348449707,0.00010450598347233608,5.817413330078125e-05
80,164,0.8483330011367798,0.4602530002593994,0.38808003067970276,0.00017455205670557916,4.6133995056152344e-05
81,166,0.8481405973434448,0.4598180651664734,0.3883225619792938,0.0003156274324283004,0.00019240379333496094
82,168,0.847944974899292,0.4592386484146118,0.3887063264846802,0.000326830631820485,0.00019562244415283203
83,171,0.847885012626648,0.4589591920375824,0.38892582058906555,0.00032213490339927375,5.996227264404297e-05
84,173,0.8477699756622314,0.4585410952568054,0.38922885060310364,0.00011542734137037769,0.0001150369644165039
85,175,0.8477252721786499,0.4584367275238037,0.3892885446548462,4.043716035084799e-05,4.470348358154297e-05
86,177,0.8476859331130981,0.45837247371673584,0.3893134295940399,0.00012460548896342516,3.933906555175781e-05
87,179,0.8476212024688721,0.458294153213501,0.3893270492553711,0.00020619950373657048,6.473064422607422e-05
88,181,0.8475115895271301,0.4580121338367462,0.3894994556903839,0.00027204776415601373,0.00010961294174194336
89,184,0.8474622964859009,0.45795056223869324,0.38951173424720764,0.0002594211255200207,4.929304122924805e-05
90,186,0.847392201423645,0.4576835036277771,0.3897086977958679,0.00014534061483573169,7.009506225585938e-05
91,188,0.8473628759384155,0.4575556218624115,0.38980722427368164,2.7507363483891822e-05,2.9325485229492188e-05
92,190,0.8473505973815918,0.4575129449367523,0.3898376524448395,6.490735540864989e-05,1.2278556823730469e-05
93,192,0.8473250269889832,0.45741862058639526,0.3899064064025879,0.00015040513244457543,2.5570392608642578e-05
94,194,0.8472793102264404,0.45726925134658813,0.3900100290775299,0.00021583461784757674,4.571676254272461e-05
95,196,0.8472517132759094,0.4571034908294678,0.39014822244644165,0.0004393372219055891,2.759695053100586e-05
96,198,0.8472036123275757,0.45702141523361206,0.39018216729164124,0.00012499598960857838,4.8100948333740234e-05
97,200,0.8471908569335938,0.45705026388168335,0.3901406228542328,4.4583826820598915e-05,1.2755393981933594e-05
98,202,0.8471842408180237,0.4570602774620056,0.39012396335601807,4.318069841247052e-05,6.616115570068359e-06
99,204,0.8471758365631104,0.4570620059967041,0.39011386036872864,9.393852815264836e-05,8.404254913330078e-06
100,206,0.8471552133560181,0.457028329372406,0.3901268541812897,0.00015829884796403348,2.0623207092285156e-05
101,208,0.8471263647079468,0.4569346308708191,0.3901917338371277,0.00017788160766940564,2.8848648071289062e-05
