iteration,closure_evaluations,objective,weighted_cross_entropy,l2_penalty,gradient_inf_norm,relative_objective_change
0,0,4.174387454986572,4.174387454986572,0.0,0.013621301390230656,
1,5,3.9744873046875,3.9744503498077393,3.699929584399797e-05,0.005518338643014431,0.047887301419584034
2,7,3.497480869293213,3.4967706203460693,0.0007102350937202573,0.020865807309746742,0.12001709876685401
3,9,2.6312880516052246,2.625364065170288,0.005924046505242586,0.023785211145877838,0.24766191726533518
4,12,2.3092830181121826,2.2965829372406006,0.01270004641264677,0.10717347264289856,0.12237544015623904
5,14,1.6830636262893677,1.652482271194458,0.030581297352910042,0.024579914286732674,0.2711748135292414
6,16,1.473970651626587,1.4340031147003174,0.03996759280562401,0.014610446989536285,0.12423355326367892
7,18,1.176712989807129,1.113698124885559,0.0630149245262146,0.011911772191524506,0.20167135722235854
8,20,0.9370441436767578,0.8567240238189697,0.0803200975060463,0.014527722261846066,0.20367655342162444
9,23,0.7953042984008789,0.7000959515571594,0.09520837664604187,0.022248124703764915,0.1417398452758789
10,25,0.668053388595581,0.5643963813781738,0.10365699231624603,0.011667043901979923,0.12725090980529785
11,27,0.6191782355308533,0.5055340528488159,0.11364416778087616,0.026551075279712677,0.04887515306472778
12,29,0.5590655207633972,0.4466704726219177,0.1123950332403183,0.005118363071233034,0.060112714767456055
13,31,0.5435523986816406,0.4295351505279541,0.11401723325252533,0.0045775920152664185,0.015513122081756592
14,33,0.515720784664154,0.39912617206573486,0.11659461259841919,0.004835131578147411,0.027831614017486572
15,35,0.4872550964355469,0.3661157786846161,0.12113931030035019,0.008500863797962666,0.028465688228607178
16,37,0.46480607986450195,0.3390396237373352,0.12576647102832794,0.0056303720921278,0.022449016571044922
17,39,0.4364061951637268,0.30918943881988525,0.12721677124500275,0.004224530421197414,0.028399884700775146
18,41,0.4217890501022339,0.2939165234565735,0.1278725266456604,0.0018440420972183347,0.01461714506149292
19,43,0.4100090563297272,0.2816780209541321,0.1283310353755951,0.0029280211310833693,0.011779993772506714
20,45,0.39297986030578613,0.2638971209526062,0.12908272445201874,0.0031317404936999083,0.01702919602394104
21,47,0.37027955055236816,0.23695406317710876,0.1333254724740982,0.0038983041886240244,0.02270030975341797
22,49,0.3433637320995331,0.200604647397995,0.14275908470153809,0.0030174539424479008,0.026915818452835083
23,51,0.3329867124557495,0.17445652186870575,0.15853019058704376,0.006465308368206024,0.01037701964378357
24,53,0.32104820013046265,0.1638093888759613,0.15723879635334015,0.0020241690799593925,0.011938512325286865
25,55,0.3160747289657593,0.16207486391067505,0.15399987995624542,0.0013813464902341366,0.004973471164703369
26,57,0.3087155818939209,0.1593828797340393,0.14933271706104279,0.0012340755201876163,0.007359147071838379
27,59,0.3014998137950897,0.1545291244983673,0.1469706892967224,0.0017032261239364743,0.007215768098831177
28,61,0.29470932483673096,0.1480507254600525,0.14665858447551727,0.001757318968884647,0.006790488958358765
29,63,0.288821280002594,0.1393481194972992,0.1494731456041336,0.0018684709211811423,0.005888044834136963
30,65,0.28338122367858887,0.13276579976081848,0.15061543881893158,0.0017602583393454552,0.005440056324005127
31,67,0.2780582904815674,0.12805847823619843,0.14999982714653015,0.0014623457100242376,0.005322933197021484
32,69,0.2733886241912842,0.12365223467350006,0.1497364044189453,0.0020635726395994425,0.004669666290283203
33,71,0.26974916458129883,0.11785976588726044,0.1518893837928772,0.002101410645991564,0.0036394596099853516
34,73,0.2668728232383728,0.11311891674995422,0.15375392138957977,0.0011534641962498426,0.0028763413429260254
35,75,0.26386040449142456,0.10745082795619965,0.15640957653522491,0.0005873608752153814,0.003012418746948242
36,77,0.2623594105243683,0.1059785932302475,0.1563808172941208,0.0010260790586471558,0.0015009939670562744
37,79,0.260204017162323,0.1030624583363533,0.1571415662765503,0.001525678439065814,0.002155393362045288
38,81,0.25770050287246704,0.09952244162559509,0.15817804634571075,0.001421477529220283,0.002503514289855957
39,83,0.25560009479522705,0.09538072347640991,0.16021935641765594,0.0012429947964847088,0.0021004080772399902
40,85,0.25375378131866455,0.0928468108177185,0.16090698540210724,0.0007193877827376127,0.0018463134765625
41,87,0.2528761625289917,0.09269554913043976,0.16018059849739075,0.00040235454798676074,0.0008776187896728516
42,89,0.2519821524620056,0.09301091730594635,0.15897122025489807,0.00045676055015064776,0.000894010066986084
43,91,0.25139445066452026,0.09293213486671448,0.1584623008966446,0.0004674682568293065,0.0005877017974853516
44,93,0.25049734115600586,0.09243915230035782,0.15805819630622864,0.0005651855026371777,0.0008971095085144043
45,95,0.24983876943588257,0.09133730083703995,0.15850147604942322,0.0007343412726186216,0.000658571720123291
46,97,0.24929136037826538,0.09024766832590103,0.15904369950294495,0.0005914768553338945,0.0005474090576171875
47,99,0.24864919483661652,0.08883196115493774,0.15981723368167877,0.00038850607234053314,0.0006421655416488647
48,101,0.24832408130168915,0.08798065781593323,0.16034342348575592,0.0002510293561499566,0.00032511353492736816
49,103,0.24806047976016998,0.08729375898838043,0.16076672077178955,0.00023111869813874364,0.00026360154151916504
50,105,0.2478712946176529,0.08695091307163239,0.1609203815460205,0.000180150440428406,0.00018918514251708984
51,107,0.24768629670143127,0.08693450689315796,0.16075178980827332,0.00015062183956615627,0.00018499791622161865
52,109,0.2475406974554062,0.08718863129615784,0.16035206615924835,0.00017384956299792975,0.00014559924602508545
53,111,0.2474275678396225,0.08745162189006805,0.15997594594955444,0.00022070280101615936,0.0001131296157836914
54,113,0.24733373522758484,0.08762050420045853,0.15971322357654572,0.0002532074286136776,9.383261203765869e-05
55,115,0.24723929166793823,0.08746812492609024,0.1597711741924286,0.00019956112373620272,9.444355964660645e-05
56,117,0.24711285531520844,0.0871325135231018,0.15998034179210663,0.0001680137647781521,0.00012643635272979736
57,119,0.247005432844162,0.0865747407078743,0.1604306995868683,0.00011775833991123363,0.00010742247104644775
58,121,0.24694518744945526,0.08635365962982178,0.16059152781963348,9.66388251981698e-05,6.0245394706726074e-05
59,123,0.2469153106212616,0.08630769699811935,0.16060762107372284,5.64613364986144e-05,2.987682819366455e-05
60,125,0.24688942730426788,0.08644437789916992,0.16044504940509796,6.487072096206248e-05,2.588331699371338e-05
61,127,0.24683579802513123,0.08670520782470703,0.1601305902004242,0.00010614729399094358,5.3629279136657715e-05
62,129,0.24678251147270203,0.08686461299657822,0.1599179059267044,0.00012769579188898206,5.328655242919922e-05
63,132,0.24675984680652618,0.08674770593643188,0.1600121408700943,0.00010486577230039984,2.2664666175842285e-05
64,134,0.24673037230968475,0.08658754825592041,0.16014282405376434,4.724082464235835e-05,2.9474496841430664e-05
65,136,0.2467193454504013,0.08640216290950775,0.16031718254089355,2.542983929743059e-05,1.1026859283447266e-05
66,138,0.24671056866645813,0.08621329814195633,0.1604972630739212,5.4033633205108345e-05,8.77678394317627e-06
67,140,0.24669715762138367,0.08604386448860168,0.16065329313278198,8.943175635067746e-05,1.341104507446289e-05
68,142,0.24667730927467346,0.0859188511967659,0.16075846552848816,8.458189404336736e-05,1.9848346710205078e-05
69,145,0.24667078256607056,0.08597124367952347,0.16069954633712769,7.035388262011111e-05,6.5267086029052734e-06
70,147,0.246660977602005,0.08608882874250412,0.1605721414089203,2.1450634449138306e-05,9.804964065551758e-06
71,149,0.24665683507919312,0.08621066808700562,0.1604461669921875,1.6552450688323006e-05,4.1425228118896484e-06
72,151,0.246653214097023,0.0863296240568161,0.1603235900402069,4.1339000745210797e-05,3.6209821701049805e-06
73,153,0.24664750695228577,0.0864163413643837,0.16023117303848267,5.557947952183895e-05,5.707144737243652e-06
74,155,0.2466437816619873,0.08649416267871857,0.16014961898326874,7.578886288683861e-05,3.725290298461914e-06
75,157,0.24663804471492767,0.08638373017311096,0.1602543145418167,2.3882654204498976e-05,5.736947059631348e-06
76,159,0.24663639068603516,0.08626540750265121,0.16037099063396454,1.2287007848499343e-05,1.6540288925170898e-06
77,161,0.2466353178024292,0.0861862301826477,0.1604490876197815,1.5347881344496273e-05,1.0728836059570312e-06
78,163,0.2466336190700531,0.08610145002603531,0.1605321764945984,2.672573464224115e-05,1.6987323760986328e-06
79,165,0.2466306984424591,0.08602450788021088,0.16060619056224823,3.105987707385793e-05,2.9206275939941406e-06
