iteration,closure_evaluations,objective,weighted_cross_entropy,l2_penalty,gradient_inf_norm,relative_objective_change
0,0,4.174387454986572,4.174387454986572,0.0,0.008092684671282768,
1,5,4.048001766204834,4.047962188720703,3.951672260882333e-05,0.0029637720435857773,0.0302764633481165
2,7,3.9384803771972656,3.938307285308838,0.00017314050637651235,0.0038857078179717064,0.027055667297855236
3,9,3.4441957473754883,3.4411559104919434,0.0030398801900446415,0.014166864566504955,0.12550135648346794
4,11,2.9155941009521484,2.8989977836608887,0.01659630425274372,0.024476801976561546,0.15347607546003725
5,14,2.7257869243621826,2.6971428394317627,0.0286441408097744,0.034539319574832916,0.065100686178498
6,16,2.4596331119537354,2.418025493621826,0.041607651859521866,0.014390263706445694,0.09764292653605917
7,18,2.083692789077759,2.011540412902832,0.07215235382318497,0.017569178715348244,0.15284406485215987
8,20,1.7842612266540527,1.6725118160247803,0.11174943298101425,0.025385325774550438,0.1437023557374954
9,22,1.6773273944854736,1.538743495941162,0.13858389854431152,0.019658207893371582,0.059931713232993046
10,24,1.581368327140808,1.4482150077819824,0.13315334916114807,0.00743058230727911,0.057209503439906155
11,26,1.5416287183761597,1.4102163314819336,0.1314123421907425,0.004864072427153587,0.025129887884184205
12,28,1.524224042892456,1.3933014869689941,0.1309226155281067,0.0060897511430084705,0.01128979713224105
13,30,1.507898211479187,1.373268485069275,0.1346297413110733,0.00423593120649457,0.010710913195076097
14,32,1.459184169769287,1.3084553480148315,0.15072888135910034,0.008035100996494293,0.03230592180496945
15,34,1.3980467319488525,1.2297394275665283,0.16830727458000183,0.009260027669370174,0.041898369710316324
16,36,1.3105229139328003,1.100024700164795,0.21049819886684418,0.012435740791261196,0.06260435793447733
17,38,1.265486240386963,1.0327194929122925,0.23276673257350922,0.022559508681297302,0.03436542243331332
18,40,1.2226547002792358,0.9996204376220703,0.22303427755832672,0.006875290535390377,0.03384591530179731
19,42,1.1953679323196411,0.9856268167495728,0.20974113047122955,0.0059308987110853195,0.02231764042076871
20,44,1.1810630559921265,0.9780650734901428,0.20299802720546722,0.005393813364207745,0.01196692327169567
21,46,1.1709555387496948,0.9686685800552368,0.2022869884967804,0.003038382390514016,0.008557982735257975
22,48,1.1527099609375,0.9468920230865479,0.20581796765327454,0.0036525612231343985,0.015581785309864806
23,50,1.1189113855361938,0.9002094864845276,0.21870188415050507,0.006415783427655697,0.029320971056602776
24,52,1.0780396461486816,0.8363511562347412,0.24168848991394043,0.009293555282056332,0.03652812896163895
25,54,1.0668379068374634,0.7969363331794739,0.2699016034603119,0.01982998102903366,0.01039084170163565
26,56,1.038069725036621,0.7724599838256836,0.2656097710132599,0.004983637481927872,0.026965841405207233
27,58,1.0323972702026367,0.7718783617019653,0.2605189383029938,0.0017706986982375383,0.005464425651932255
28,60,1.0276726484298706,0.7690262794494629,0.2586463987827301,0.0021988609805703163,0.0045763601949846055
29,62,1.0175061225891113,0.7600976824760437,0.2574084997177124,0.0041920761577785015,0.009892766783559144
30,64,1.0022239685058594,0.7430081367492676,0.2592158019542694,0.008810324594378471,0.015019225677350723
31,66,0.9794249534606934,0.7099944949150085,0.2694304287433624,0.010778987780213356,0.02274842326825945
32,68,0.961557149887085,0.6743685007095337,0.28718864917755127,0.006480618845671415,0.0178678035736084
33,70,0.9510809183120728,0.6595751047134399,0.2915058135986328,0.00220511551015079,0.010476231575012207
34,72,0.9470549821853638,0.6529913544654846,0.29406365752220154,0.0013507650000974536,0.004025936126708984
35,74,0.9443784356117249,0.6465640068054199,0.29781442880630493,0.0016407896764576435,0.002676546573638916
36,76,0.9354248046875,0.6253746151924133,0.31005018949508667,0.003175164107233286,0.008953630924224854
37,78,0.9258478879928589,0.6005352735519409,0.32531264424324036,0.004658820573240519,0.009576916694641113
38,80,0.9137029647827148,0.5805761218070984,0.33312687277793884,0.004459230229258537,0.012144923210144043
39,82,0.9008837938308716,0.565069317817688,0.3358144462108612,0.001820774981752038,0.012819170951843262
40,84,0.8978118896484375,0.565009593963623,0.33280232548713684,0.0015316924545913935,0.003071904182434082
41,86,0.8950899839401245,0.5646106004714966,0.33047935366630554,0.0012679797364398837,0.0027219057083129883
42,88,0.8915847539901733,0.5652773380279541,0.32630741596221924,0.0015615534503012896,0.003505229949951172
43,90,0.8874831199645996,0.5637369155883789,0.3237462341785431,0.0024509094655513763,0.0041016340255737305
44,92,0.8817224502563477,0.5565266609191895,0.3251958191394806,0.002823774702847004,0.005760669708251953
45,94,0.8764979839324951,0.5443324446678162,0.33216556906700134,0.0024291386362165213,0.005224466323852539
46,96,0.8724676370620728,0.5308617353439331,0.34160593152046204,0.0014737349702045321,0.004030346870422363
47,98,0.8702384829521179,0.5198343992233276,0.3504040837287903,0.0011758635519072413,0.002229154109954834
48,100,0.8689965009689331,0.5141938328742981,0.3548026978969574,0.0008371052681468427,0.0012419819831848145
49,102,0.867303192615509,0.50807124376297,0.35923194885253906,0.000943126855418086,0.0016933083534240723
50,104,0.8643201589584351,0.5003015995025635,0.3640185594558716,0.0016377057181671262,0.0029830336570739746
