iteration,closure_evaluations,objective,weighted_cross_entropy,l2_penalty,gradient_inf_norm,relative_objective_change
0,0,4.174387454986572,4.174387454986572,0.0,0.029489077627658844,
1,5,3.9330291748046875,3.9329137802124023,0.00011542741412995383,0.07002130895853043,0.057818849540084476
2,7,3.7887823581695557,3.788522720336914,0.0002597336715552956,0.01748587377369404,0.036675755562452714
3,9,3.596021890640259,3.5953383445739746,0.0006834944942966104,0.025358321145176888,0.050876627187005724
4,11,2.614957094192505,2.605278491973877,0.009678575210273266,0.07263320684432983,0.27281947281835894
5,13,2.1165366172790527,2.063241958618164,0.0532945916056633,0.05287032946944237,0.19060369212955047
6,15,1.8409767150878906,1.7783664464950562,0.06261028349399567,0.023051319643855095,0.1301937797539324
7,17,1.616944432258606,1.5536633729934692,0.0632811114192009,0.01683749072253704,0.1216920784457554
8,19,1.3590974807739258,1.2941205501556396,0.06497691571712494,0.03492046520113945,0.15946556130225842
9,21,1.12171471118927,1.0479252338409424,0.07378949224948883,0.016125580295920372,0.17466206283413924
10,23,0.9838679432868958,0.8971908092498779,0.08667713403701782,0.01641041412949562,0.12288932874583205
11,25,0.8758832812309265,0.7646607756614685,0.11122250556945801,0.011408772319555283,0.10798466205596924
12,27,0.7973893880844116,0.6630678772926331,0.13432151079177856,0.012765957042574883,0.07849389314651489
13,29,0.7258633375167847,0.5645961761474609,0.16126719117164612,0.008080399595201015,0.07152605056762695
14,31,0.6874799132347107,0.5078491568565369,0.17963075637817383,0.02478002943098545,0.038383424282073975
15,33,0.6284849643707275,0.44176918268203735,0.1867157518863678,0.005502044688910246,0.058994948863983154
16,35,0.5774204730987549,0.3749443292617798,0.20247617363929749,0.004852777346968651,0.051064491271972656
17,38,0.5495390295982361,0.34022602438926697,0.20931299030780792,0.0048747556284070015,0.0278814435005188
18,40,0.5168724060058594,0.3123011887073517,0.2045711874961853,0.004625976551324129,0.03266662359237671
19,42,0.4865184426307678,0.2919394373893738,0.19457900524139404,0.0035267118364572525,0.030353963375091553
20,45,0.4743102192878723,0.28437668085098267,0.18993355333805084,0.005586728919297457,0.012208223342895508
21,47,0.4596205949783325,0.2673501968383789,0.1922703981399536,0.0015208522090688348,0.014689624309539795
22,49,0.4485657811164856,0.255267858505249,0.19329792261123657,0.0018013205844908953,0.011054813861846924
23,51,0.4342084527015686,0.24272719025611877,0.19148127734661102,0.005382224451750517,0.014357328414916992
24,53,0.4197060465812683,0.2309902161359787,0.18871581554412842,0.003109977813437581,0.014502406120300293
25,55,0.3929804563522339,0.21185025572776794,0.18113021552562714,0.002831976395100355,0.026725590229034424
26,58,0.3768831789493561,0.1975337564945221,0.17934942245483398,0.004749584011733532,0.016097277402877808
27,60,0.362124502658844,0.18114009499549866,0.18098439276218414,0.002933074487373233,0.014758676290512085
28,62,0.3565562963485718,0.17179563641548157,0.1847606748342514,0.0018762015970423818,0.005568206310272217
29,64,0.35076674818992615,0.1615273654460907,0.18923938274383545,0.0009781131520867348,0.00578954815864563
30,66,0.3438740372657776,0.1496494710445404,0.194224551320076,0.0013629100285470486,0.00689271092414856
31,68,0.3373575806617737,0.14029985666275024,0.19705772399902344,0.002192764077335596,0.006516456604003906
32,70,0.3317079246044159,0.1363500952720642,0.19535782933235168,0.002301623113453388,0.005649656057357788
33,72,0.32664281129837036,0.13749165832996368,0.18915115296840668,0.0016719679115340114,0.005065113306045532
34,74,0.32267048954963684,0.137055903673172,0.18561458587646484,0.001452642260119319,0.0039723217487335205
35,76,0.3176661729812622,0.13483890891075134,0.18282726407051086,0.0011057923547923565,0.005004316568374634
36,78,0.3131909668445587,0.13355429470539093,0.17963667213916779,0.002553512342274189,0.004475206136703491
37,80,0.3113333582878113,0.1305142045021057,0.18081916868686676,0.0014808936975896358,0.0018576085567474365
38,82,0.31005677580833435,0.1274794042110443,0.18257737159729004,0.0005989045021124184,0.0012765824794769287
39,84,0.30866536498069763,0.12476196885108948,0.18390339612960815,0.00034782435977831483,0.0013914108276367188
40,86,0.3076973259449005,0.12320156395435333,0.18449576199054718,0.0004577981890179217,0.0009680390357971191
41,88,0.30622726678848267,0.12144195288419724,0.18478530645370483,0.0007337210699915886,0.0014700591564178467
42,90,0.30423036217689514,0.11950649321079254,0.1847238689661026,0.0013102071825414896,0.0019969046115875244
43,92,0.30246829986572266,0.11716945469379425,0.1852988600730896,0.0024585265200585127,0.0017620623111724854
44,94,0.3005165755748749,0.1154722049832344,0.18504436314105988,0.001068857847712934,0.0019517242908477783
45,96,0.2993060052394867,0.11488227546215057,0.18442372977733612,0.0010436020093038678,0.0012105703353881836
46,98,0.2985199987888336,0.11538798362016678,0.18313202261924744,0.0010516211623325944,0.0007860064506530762
47,100,0.29808834195137024,0.11569102853536606,0.18239730596542358,0.0010272999061271548,0.0004316568374633789
48,102,0.29750901460647583,0.11603765189647675,0.18147136270999908,0.0009762670379132032,0.0005793273448944092
49,104,0.2969723343849182,0.11587017774581909,0.18110215663909912,0.0008777650655247271,0.0005366802215576172
50,106,0.2962228059768677,0.11489614844322205,0.18132665753364563,0.0008478766540065408,0.0007495284080505371
51,108,0.2953413724899292,0.11328674852848053,0.18205463886260986,0.0007389873499050736,0.0008814334869384766
52,110,0.29461872577667236,0.1115737333893776,0.18304499983787537,0.00041848377441056073,0.0007226467132568359
53,112,0.2943187654018402,0.11126242578029633,0.18305633962154388,0.00030993414111435413,0.0002999603748321533
54,114,0.29413658380508423,0.11137910932302475,0.18275748193264008,0.00016837041766848415,0.00018218159675598145
55,116,0.2939690351486206,0.11173023283481598,0.18223881721496582,0.00024004177248571068,0.00016754865646362305
56,118,0.2936881482601166,0.11224817484617233,0.18143998086452484,0.00034163694363087416,0.0002808868885040283
57,120,0.2933776080608368,0.11224447935819626,0.18113312125205994,0.00037590612191706896,0.00031054019927978516
58,122,0.2932061553001404,0.11195462942123413,0.18125154078006744,0.00048009565216489136,0.00017145276069641113
59,124,0.2930164635181427,0.11116419732570648,0.18185226619243622,0.0002090280904667452,0.00018969178199768066
60,126,0.2929474413394928,0.1106622964143753,0.1822851449251175,8.39659187477082e-05,6.902217864990234e-05
61,128,0.29288962483406067,0.11033303290605545,0.18255659937858582,0.00012585897638928145,5.7816505432128906e-05
62,130,0.2928086519241333,0.11011385917663574,0.18269477784633636,0.0002330219285795465,8.097290992736816e-05
63,132,0.29271215200424194,0.11012394726276398,0.18258821964263916,0.00027485541068017483,9.649991989135742e-05
64,134,0.29259851574897766,0.11040102690458298,0.1821974813938141,0.00025145220570266247,0.00011363625526428223
65,136,0.2925287187099457,0.11080435663461685,0.18172436952590942,0.00023752528068143874,6.979703903198242e-05
66,138,0.2924550771713257,0.11072354018688202,0.18173153698444366,0.00022245896980166435,7.364153861999512e-05
67,140,0.2924222946166992,0.11064904183149338,0.18177326023578644,0.000206483862712048,3.2782554626464844e-05
68,142,0.2924056649208069,0.11057025194168091,0.18183541297912598,0.00019716797396540642,1.6629695892333984e-05
69,144,0.2923735976219177,0.11042158305644989,0.18195201456546783,0.00017499865498393774,3.2067298889160156e-05
70,146,0.29232847690582275,0.11022210866212845,0.1821063756942749,0.00013773782120551914,4.51207160949707e-05
71,148,0.292275607585907,0.11018340289592743,0.18209220468997955,0.00017208037024829537,5.2869319915771484e-05
72,150,0.29226306080818176,0.1101130023598671,0.18215005099773407,0.00014290162653196603,1.2546777725219727e-05
73,152,0.29222965240478516,0.11023274064064026,0.1819969117641449,0.00010385542555013672,3.3408403396606445e-05
74,154,0.29222142696380615,0.1103169322013855,0.18190449476242065,5.825128755532205e-05,8.225440979003906e-06
75,156,0.2922118008136749,0.11038722842931747,0.18182457983493805,3.471584204817191e-05,9.626150131225586e-06
76,158,0.292199969291687,0.11041752994060516,0.18178243935108185,7.657999231014401e-05,1.1831521987915039e-05
77,160,0.29218608140945435,0.11036888509988785,0.1818172037601471,0.00013666594168171287,1.3887882232666016e-05
78,162,0.2921724021434784,0.11026933044195175,0.18190306425094604,0.0001535153278382495,1.3679265975952148e-05
79,164,0.2921604514122009,0.11015558987855911,0.18200485408306122,0.00013817167200613767,1.195073127746582e-05
80,166,0.2921508550643921,0.11013228446245193,0.18201856315135956,8.504384459229186e-05,9.59634780883789e-06
81,168,0.29214292764663696,0.11017419397830963,0.18196871876716614,3.081502654822543e-05,7.927417755126953e-06
82,170,0.29214006662368774,0.11022122204303741,0.18191884458065033,3.0218503525247797e-05,2.86102294921875e-06
83,172,0.29213589429855347,0.11028501391410828,0.18185089528560638,3.588048639358021e-05,4.172325134277344e-06
84,174,0.29213225841522217,0.11029958724975586,0.18183265626430511,4.7389159590238705e-05,3.635883331298828e-06
85,176,0.29212796688079834,0.1102653443813324,0.18186263740062714,5.4423500841949135e-05,4.291534423828125e-06
86,178,0.29212403297424316,0.11018598079681396,0.181938037276268,5.039944517193362e-05,3.933906555175781e-06
87,180,0.2921202778816223,0.11010128259658813,0.18201898038387299,3.776445009862073e-05,3.7550926208496094e-06
88,182,0.29211798310279846,0.11005806922912598,0.18205991387367249,2.465679426677525e-05,2.294778823852539e-06
89,184,0.29211652278900146,0.11009004712104797,0.1820264607667923,2.4742301320657134e-05,1.4603137969970703e-06
90,186,0.2921155095100403,0.11014500260353088,0.1819705069065094,2.2252128474065103e-05,1.0132789611816406e-06
91,188,0.29211461544036865,0.1101825088262558,0.18193210661411285,2.619102451717481e-05,8.940696716308594e-07
92,190,0.29211312532424927,0.11021243780851364,0.18190069496631622,3.074699270655401e-05,1.4901161193847656e-06
93,192,0.29211145639419556,0.11020617932081223,0.18190528452396393,3.311726686661132e-05,1.6689300537109375e-06
94,194,0.292110800743103,0.11015991866588593,0.1819508671760559,3.280891542090103e-05,6.556510925292969e-07
95,196,0.29210954904556274,0.11012732982635498,0.18198223412036896,2.1035199097241275e-05,1.2516975402832031e-06
96,198,0.2921091914176941,0.1101032942533493,0.1820058971643448,8.078683094936423e-06,3.5762786865234375e-07
97,200,0.2921088635921478,0.11008574813604355,0.18202312290668488,8.2459064287832e-06,3.2782554626464844e-07
98,202,0.29210859537124634,0.11008036881685257,0.18202821910381317,1.656422136875335e-05,2.682209014892578e-07
