iteration,closure_evaluations,objective,weighted_cross_entropy,l2_penalty,gradient_inf_norm,relative_objective_change
0,0,4.1743879318237305,4.1743879318237305,0.0,0.007714101113379002,
1,5,4.020800590515137,4.020766258239746,3.4436969144735485e-05,0.004271796438843012,0.03679278107760666
2,7,3.6282896995544434,3.6276164054870605,0.0006734095513820648,0.010966231115162373,0.09762008389239857
3,9,2.766312599182129,2.7590670585632324,0.007245611399412155,0.017743047326803207,0.23757118966497243
4,12,2.44176983833313,2.4250307083129883,0.01673915423452854,0.08267554640769958,0.1173196264749513
5,14,1.9163062572479248,1.8768692016601562,0.03943708539009094,0.019303280860185623,0.21519783430690254
6,16,1.690255045890808,1.6409865617752075,0.04926843196153641,0.010156349278986454,0.1179619439753627
7,18,1.2549673318862915,1.1798170804977417,0.07515030354261398,0.0200774185359478,0.2575278299347473
8,20,1.0170395374298096,0.9037525653839111,0.11328700184822083,0.05178064480423927,0.18958883503275112
9,22,0.8447669744491577,0.7199360132217407,0.12483097612857819,0.009538805112242699,0.16938629880211628
10,24,0.7619881629943848,0.6365405917167664,0.12544754147529602,0.008600708097219467,0.08277881145477295
11,26,0.6956050992012024,0.5581790208816528,0.13742606341838837,0.013643787242472172,0.06638306379318237
12,28,0.6571754813194275,0.5161654949188232,0.14100998640060425,0.006027873605489731,0.0384296178817749
13,30,0.6453522443771362,0.4987901747226715,0.14656205475330353,0.0036091776564717293,0.01182323694229126
14,32,0.6348448991775513,0.48090264201164246,0.15394222736358643,0.0031635931227356195,0.010507345199584961
15,34,0.6259101629257202,0.46706265211105347,0.15884752571582794,0.004527491983026266,0.008934736251831055
16,36,0.6082014441490173,0.4403485059738159,0.16785292327404022,0.0047445776872336864,0.01770871877670288
17,38,0.5873048305511475,0.40913957357406616,0.1781652718782425,0.007050781510770321,0.020896613597869873
18,40,0.5629867911338806,0.3748892545700073,0.1880975365638733,0.004185992758721113,0.024318039417266846
19,42,0.5349951386451721,0.3424510061740875,0.1925441324710846,0.005242141894996166,0.027991652488708496
20,44,0.5097144246101379,0.32054901123046875,0.189165398478508,0.010353832505643368,0.02528071403503418
21,46,0.49190619587898254,0.3106284439563751,0.18127775192260742,0.009523378685116768,0.017808228731155396
22,48,0.48005521297454834,0.3023490607738495,0.17770616710186005,0.005228974856436253,0.011850982904434204
23,50,0.46406427025794983,0.28811758756637573,0.1759466826915741,0.00193289655726403,0.01599094271659851
24,52,0.45573318004608154,0.27704092860221863,0.17869223654270172,0.002148277126252651,0.008331090211868286
25,54,0.4469038248062134,0.2637094259262085,0.18319441378116608,0.003417195286601782,0.008829355239868164
26,56,0.4398735761642456,0.2515147924423218,0.18835879862308502,0.0028298203833401203,0.0070302486419677734
27,58,0.43304893374443054,0.24215397238731384,0.1908949613571167,0.0023649909999221563,0.0068246424198150635
28,60,0.4210559129714966,0.2267037332057953,0.1943521648645401,0.0023099028039723635,0.01199302077293396
29,62,0.4149809181690216,0.21783141791820526,0.19714950025081635,0.00357085675932467,0.006074994802474976
30,64,0.40972965955734253,0.21174535155296326,0.19798430800437927,0.0012964544584974647,0.005251258611679077
31,66,0.40433019399642944,0.20559237897396088,0.19873780012130737,0.0009133974672295153,0.005399465560913086
32,68,0.4013996124267578,0.201859250664711,0.19954034686088562,0.001207422581501305,0.002930581569671631
33,70,0.39724069833755493,0.19716359674930573,0.2000771164894104,0.0015777724329382181,0.004158914089202881
34,72,0.3929874300956726,0.1925913691520691,0.2003960758447647,0.002121815225109458,0.004253268241882324
35,74,0.38829076290130615,0.1887296885251999,0.19956107437610626,0.00212254305370152,0.004696667194366455
36,76,0.38418570160865784,0.18642021715641022,0.19776548445224762,0.0021258536726236343,0.004105061292648315
37,78,0.3814733326435089,0.18287938833236694,0.19859394431114197,0.0012382188579067588,0.0027123689651489258
38,80,0.3800937533378601,0.1796419322490692,0.2004518359899521,0.0004339215811342001,0.0013795793056488037
39,82,0.37888890504837036,0.17495837807655334,0.20393052697181702,0.000650873756967485,0.001204848289489746
40,84,0.37809765338897705,0.1713392436504364,0.20675839483737946,0.0009403572767041624,0.0007912516593933105
41,86,0.3761032521724701,0.16265636682510376,0.21344688534736633,0.0011133159277960658,0.001994401216506958
42,88,0.3751407861709595,0.15385740995407104,0.22128339111804962,0.0018748748116195202,0.0009624660015106201
43,90,0.37264710664749146,0.15120403468608856,0.2214430570602417,0.0008882361580617726,0.0024936795234680176
44,92,0.3712393641471863,0.1531904935836792,0.21804888546466827,0.0005989762139506638,0.0014077425003051758
45,94,0.37014371156692505,0.1563679724931717,0.21377572417259216,0.00044728146167472005,0.0010956525802612305
46,96,0.3694295883178711,0.15834607183933258,0.2110835164785385,0.0004121161764487624,0.0007141232490539551
47,98,0.3688613176345825,0.16045346856117249,0.20840786397457123,0.0005862935213372111,0.0005682706832885742
48,100,0.3684633672237396,0.16055278480052948,0.20791058242321014,0.00038271487574093044,0.0003979504108428955
49,102,0.3680992126464844,0.1599033772945404,0.20819582045078278,0.00037744164001196623,0.000364154577255249
50,104,0.36735427379608154,0.15832465887069702,0.20902960002422333,0.0005308928084559739,0.000744938850402832
51,106,0.36678463220596313,0.15675213932991028,0.21003249287605286,0.0007031300337985158,0.0005696415901184082
52,108,0.36628448963165283,0.15449242293834686,0.21179205179214478,0.0004591063770931214,0.0005001425743103027
53,110,0.365915447473526,0.15350066125392914,0.21241478621959686,0.00032618531258776784,0.00036904215812683105
54,112,0.3657277226448059,0.15315186977386475,0.21257583796977997,0.0001714015525067225,0.00018772482872009277
55,114,0.3655961751937866,0.15271027386188507,0.21288591623306274,0.00020857033086940646,0.0001315474510192871
56,116,0.36544597148895264,0.15204615890979767,0.21339981257915497,0.00030696834437549114,0.00015020370483398438
57,118,0.36522606015205383,0.15118592977523804,0.2140401303768158,0.0003987081872764975,0.0002199113368988037
58,120,0.3650057315826416,0.15044011175632477,0.21456561982631683,0.0004189200117252767,0.00022032856941223145
59,122,0.36480242013931274,0.1505124866962433,0.21428993344306946,0.00017964882135856897,0.00020331144332885742
60,124,0.3646925091743469,0.1510917991399765,0.21360069513320923,0.00011486750736366957,0.00010991096496582031
61,126,0.36463916301727295,0.15160617232322693,0.21303300559520721,8.894068741938099e-05,5.334615707397461e-05
62,128,0.3645835816860199,0.15187621116638184,0.21270737051963806,0.00013779154687654227,5.558133125305176e-05
63,130,0.36446690559387207,0.15205040574073792,0.21241649985313416,0.00017293263226747513,0.00011667609214782715
64,132,0.3643462657928467,0.15171468257904053,0.21263158321380615,0.00022261677077040076,0.00012063980102539062
65,134,0.36424747109413147,0.15084771811962128,0.2133997529745102,0.0001457330654375255,9.879469871520996e-05
66,136,0.3642025291919708,0.15029513835906982,0.213907390832901,7.048516999930143e-05,4.494190216064453e-05
67,138,0.36418357491493225,0.15002213418483734,0.2141614407300949,4.6824578021187335e-05,1.895427703857422e-05
68,140,0.36416369676589966,0.14990949630737305,0.2142542153596878,6.997366290306672e-05,1.9878149032592773e-05
69,142,0.3641045093536377,0.149774968624115,0.2143295258283615,0.0001328586949966848,5.918741226196289e-05
70,144,0.36405158042907715,0.14978082478046417,0.21427077054977417,0.0002278591855429113,5.2928924560546875e-05
71,146,0.3640132546424866,0.14991286396980286,0.21410039067268372,8.866380812833086e-05,3.832578659057617e-05
72,148,0.36399710178375244,0.15004326403141022,0.21395382285118103,1.9934515876229852e-05,1.615285873413086e-05
73,150,0.36399024724960327,0.15013925731182098,0.2138509899377823,3.328125603729859e-05,6.854534149169922e-06
74,152,0.36398324370384216,0.15017805993556976,0.2138051837682724,6.03274856985081e-05,7.0035457611083984e-06
75,154,0.363962322473526,0.1502092182636261,0.2137531042098999,0.0001073826861102134,2.092123031616211e-05
76,156,0.36394065618515015,0.15016131103038788,0.21377933025360107,9.996529115596786e-05,2.1666288375854492e-05
77,159,0.3639288544654846,0.15006564557552338,0.21386322379112244,9.069857333088294e-05,1.1801719665527344e-05
78,161,0.36391764879226685,0.14996880292892456,0.21394886076450348,2.1587267838185653e-05,1.1205673217773438e-05
79,163,0.36391180753707886,0.149902805685997,0.21400900185108185,4.431584238773212e-05,5.841255187988281e-06
80,165,0.3639070391654968,0.14986807107925415,0.21403898298740387,6.769774336135015e-05,4.76837158203125e-06
81,167,0.3638969957828522,0.14984248578548431,0.21405450999736786,9.215963655151427e-05,1.004338264465332e-05
82,169,0.36388611793518066,0.14990094304084778,0.21398517489433289,6.211080471985042e-05,1.0877847671508789e-05
83,171,0.36388176679611206,0.1499282419681549,0.21395352482795715,6.472846143878996e-05,4.351139068603516e-06
84,173,0.3638783097267151,0.1499454230070114,0.21393287181854248,3.3280684874625877e-05,3.4570693969726562e-06
85,175,0.3638764023780823,0.14995136857032776,0.21392503380775452,4.317899947636761e-05,1.9073486328125e-06
86,177,0.3638717532157898,0.1499459147453308,0.21392583847045898,6.195328023750335e-05,4.649162292480469e-06
87,179,0.36386722326278687,0.14992132782936096,0.2139458954334259,5.5668584536761045e-05,4.5299530029296875e-06
88,182,0.3638658821582794,0.1499035656452179,0.21396231651306152,4.1501669329591095e-05,1.341104507446289e-06
89,184,0.363864004611969,0.149893119931221,0.2139708697795868,1.0142359315068461e-05,1.8775463104248047e-06
90,186,0.363863468170166,0.14989015460014343,0.2139732986688614,9.707704521133564e-06,5.364418029785156e-07
91,188,0.3638627529144287,0.1498892605304718,0.2139735072851181,2.7269448764855042e-05,7.152557373046875e-07
92,190,0.363861620426178,0.14988979697227478,0.213971808552742,4.6518420276697725e-05,1.1324882507324219e-06
93,192,0.36385971307754517,0.14989137649536133,0.21396833658218384,5.46050796401687e-05,1.9073486328125e-06
94,194,0.3638578951358795,0.14990541338920593,0.21395248174667358,3.373960862518288e-05,1.817941665649414e-06
95,196,0.3638567626476288,0.14988869428634644,0.21396806836128235,1.4107273273111787e-05,1.1324882507324219e-06
96,198,0.36385631561279297,0.14988577365875244,0.21397052705287933,1.4296230801846832e-05,4.470348358154297e-07
97,200,0.3638559579849243,0.1498815417289734,0.21397443115711212,2.0114570361329243e-05,3.5762786865234375e-07
98,202,0.3638555407524109,0.14987784624099731,0.21397770941257477,1.939905996550806e-05,4.172325134277344e-07
