iteration,closure_evaluations,objective,weighted_cross_entropy,l2_penalty,gradient_inf_norm,relative_objective_change
0,0,4.1743879318237305,4.1743879318237305,0.0,0.00771409971639514,
1,5,3.9464452266693115,3.9463353157043457,0.00010986011329805478,0.00656881695613265,0.054605060400994894
2,7,3.6148929595947266,3.614182472229004,0.0007105968543328345,0.008681971579790115,0.08401288958326826
3,9,2.228940725326538,2.2073729038238525,0.02156778797507286,0.05799603462219238,0.38340062894243226
4,12,2.0639333724975586,2.031982660293579,0.031950656324625015,0.027971182018518448,0.0740294934513371
5,14,1.79030442237854,1.7509335279464722,0.03937091305851936,0.014180721715092659,0.13257644542464136
6,16,1.3050764799118042,1.245061993598938,0.06001447141170502,0.02793234772980213,0.2710309690360245
7,18,0.9765745997428894,0.8940029740333557,0.0825716182589531,0.018187422305345535,0.25171082708586906
8,20,0.8147527575492859,0.6944767236709595,0.12027604877948761,0.02241436392068863,0.16182184219360352
9,22,0.6774851083755493,0.549377977848053,0.12810716032981873,0.005779782310128212,0.13726764917373657
10,24,0.655502200126648,0.5185040235519409,0.13699817657470703,0.0027157266158610582,0.021982908248901367
11,26,0.6416018605232239,0.49441301822662354,0.14718882739543915,0.0028030015528202057,0.013900339603424072
12,28,0.6303908228874207,0.47176074981689453,0.15863005816936493,0.0029963264241814613,0.011211037635803223
13,30,0.6183291673660278,0.44708025455474854,0.1712488830089569,0.003943072631955147,0.012061655521392822
14,32,0.6007242202758789,0.4160735607147217,0.18465064465999603,0.004456802736967802,0.017604947090148926
15,34,0.5714749097824097,0.37284183502197266,0.1986331045627594,0.004299576859921217,0.02924931049346924
16,36,0.5330861806869507,0.32343590259552,0.20965026319026947,0.006766325328499079,0.038388729095458984
17,38,0.5071169137954712,0.3030948042869568,0.20402207970619202,0.006662117782980204,0.025969266891479492
18,40,0.4886585474014282,0.2979464530944824,0.1907120794057846,0.002258400432765484,0.01845836639404297
19,42,0.47322559356689453,0.3024275302886963,0.17079806327819824,0.0025886150542646646,0.015432953834533691
20,44,0.4636157155036926,0.29486513137817383,0.16875059902668,0.002214044099673629,0.009609878063201904
21,46,0.4452935755252838,0.2729349136352539,0.1723586618900299,0.0022384279873222113,0.018322139978408813
22,48,0.43398720026016235,0.2554703950881958,0.17851680517196655,0.004792361054569483,0.01130637526512146
23,50,0.42320263385772705,0.23928233981132507,0.18392029404640198,0.0032705620396882296,0.010784566402435303
24,52,0.41218072175979614,0.22513730823993683,0.18704339861869812,0.0020032760221511126,0.011021912097930908
25,54,0.4069116711616516,0.2201756238937378,0.18673604726791382,0.00213604629971087,0.005269050598144531
26,56,0.4031200110912323,0.2170153260231018,0.1861046850681305,0.0011941399425268173,0.0037916600704193115
27,58,0.3980247974395752,0.21135835349559784,0.18666645884513855,0.0007915039313957095,0.0050952136516571045
28,60,0.39380303025245667,0.20408102869987488,0.1897220015525818,0.0013293020892888308,0.00422176718711853
29,62,0.38645654916763306,0.18770599365234375,0.1987505406141281,0.0019885371439158916,0.007346481084823608
30,64,0.3830162286758423,0.17402784526348114,0.20898836851119995,0.003749385941773653,0.0034403204917907715
31,66,0.3770533800125122,0.1647951751947403,0.2122582048177719,0.001393285347148776,0.005962848663330078
32,68,0.37467414140701294,0.1656559705734253,0.20901818573474884,0.0013044261140748858,0.0023792386054992676
33,70,0.37221401929855347,0.16986148059368134,0.20235253870487213,0.0006215939065441489,0.0024601221084594727
34,72,0.37087905406951904,0.1712188720703125,0.19966019690036774,0.0006968479719944298,0.0013349652290344238
