iteration,closure_evaluations,objective,weighted_cross_entropy,l2_penalty,gradient_inf_norm,relative_objective_change
0,0,4.1743879318237305,4.1743879318237305,0.0,0.020164072513580322,
1,5,3.876843214035034,3.8767013549804688,0.00014188290515448898,0.027918407693505287,0.07127864555192484
2,7,3.6691832542419434,3.6688151359558105,0.00036807660944759846,0.011068040505051613,0.05356418826567853
3,9,3.059553384780884,3.0566251277923584,0.0029281997121870518,0.017080113291740417,0.16614865685878905
4,11,2.441537618637085,2.421535015106201,0.020002689212560654,0.09462542086839676,0.2019954184221758
5,13,1.837485432624817,1.7953605651855469,0.042124904692173004,0.016631819307804108,0.24740646279677725
6,15,1.6364850997924805,1.5870779752731323,0.049407146871089935,0.008009545505046844,0.1093888034503821
7,17,1.3821251392364502,1.316086769104004,0.0660383328795433,0.011552068404853344,0.15543066086473087
8,19,1.1931933164596558,1.107913613319397,0.08527973294258118,0.019550353288650513,0.13669661119192802
9,21,1.057987093925476,0.9423734545707703,0.1156136617064476,0.03207417577505112,0.11331459929339227
10,23,0.928886353969574,0.8054046630859375,0.12348166853189468,0.0063418373465538025,0.12202487222873049
11,25,0.8582042455673218,0.7272418141365051,0.13096243143081665,0.008178181014955044,0.0706821084022522
12,28,0.7596694231033325,0.6165279150009155,0.1431414932012558,0.020958825945854187,0.09853482246398926
13,30,0.7059693932533264,0.5559278726577759,0.15004153549671173,0.02886824868619442,0.053700029850006104
14,32,0.6592531204223633,0.507733166217804,0.15151992440223694,0.005632294807583094,0.046716272830963135
15,34,0.6011744737625122,0.4402351975440979,0.1609392762184143,0.006958924699574709,0.058078646659851074
16,36,0.5542670488357544,0.3806692361831665,0.1735978126525879,0.02995886839926243,0.04690742492675781
17,38,0.5233758091926575,0.341403603553772,0.1819722205400467,0.009979549795389175,0.030891239643096924
18,40,0.5130047798156738,0.33547741174697876,0.17752735316753387,0.003129234304651618,0.010371029376983643
19,42,0.48290640115737915,0.3038012385368347,0.17910517752170563,0.0030996715649962425,0.030098378658294678
20,45,0.451246976852417,0.2694038152694702,0.18184316158294678,0.015821577981114388,0.03165942430496216
