iteration,closure_evaluations,objective,weighted_cross_entropy,l2_penalty,gradient_inf_norm,relative_objective_change
0,0,4.174387454986572,4.174387454986572,0.0,0.016733210533857346,
1,5,3.9780657291412354,3.978024959564209,4.066835390403867e-05,0.005580347031354904,0.04703006799496249
2,7,3.682328224182129,3.681931257247925,0.0003970627149101347,0.011875128373503685,0.07434203582728352
3,9,3.006117582321167,3.002377986907959,0.003739647101610899,0.02466290257871151,0.18363671044320148
4,12,2.6668739318847656,2.6567726135253906,0.010101382620632648,0.12857922911643982,0.11285109153130835
5,14,2.0501980781555176,2.0235939025878906,0.0266040600836277,0.029807595536112785,0.2312354724969783
6,16,1.789829134941101,1.7489222288131714,0.04090691730380058,0.009275463409721851,0.12699696970190325
7,18,1.5455461740493774,1.4826220273971558,0.06292413175106049,0.008686154149472713,0.13648395599491814
8,20,1.2925912141799927,1.1916543245315552,0.10093684494495392,0.018987987190485,0.1636670350693148
9,22,1.163849115371704,1.0397861003875732,0.12406302243471146,0.01791953109204769,0.09960001073499583
10,24,1.051360011100769,0.9258222579956055,0.12553775310516357,0.017288295552134514,0.09665265263788844
11,26,0.9518300890922546,0.8277630805969238,0.12406701594591141,0.021212290972471237,0.09466778359232728
12,29,0.8713922500610352,0.7493717670440674,0.12202046811580658,0.01630561612546444,0.08043783903121948
13,31,0.7872541546821594,0.6636330485343933,0.1236211284995079,0.013623190112411976,0.08413809537887573
14,33,0.7193315625190735,0.583946704864502,0.13538484275341034,0.010683396831154823,0.06792259216308594
15,35,0.6753847599029541,0.5231729745864868,0.1522117704153061,0.01912734843790531,0.043946802616119385
16,37,0.6626003980636597,0.5027932524681091,0.15980713069438934,0.004889682866632938,0.012784361839294434
17,39,0.6280657052993774,0.4693393111228943,0.15872642397880554,0.003827065695077181,0.03453469276428223
18,42,0.6049586534500122,0.44583338499069214,0.15912525355815887,0.005767568480223417,0.023107051849365234
19,44,0.5872551202774048,0.4290692210197449,0.1581859141588211,0.00407372647896409,0.017703533172607422
20,46,0.538221538066864,0.38008883595466614,0.15813268721103668,0.008140360936522484,0.04903358221054077
21,49,0.4844905138015747,0.32178688049316406,0.16270361840724945,0.007478021550923586,0.05373102426528931
22,53,0.47497978806495667,0.3104912042617798,0.16448858380317688,0.006497648544609547,0.009510725736618042
23,55,0.4557325839996338,0.2787913978099823,0.1769411861896515,0.0028738125693053007,0.019247204065322876
24,57,0.44624030590057373,0.2626963257789612,0.18354398012161255,0.0063452040776610374,0.009492278099060059
25,59,0.44017571210861206,0.24980734288692474,0.19036836922168732,0.003838969161733985,0.00606459379196167
26,61,0.43100816011428833,0.24567298591136932,0.185335174202919,0.001660267123952508,0.00916755199432373
27,63,0.42305004596710205,0.24449649453163147,0.17855355143547058,0.003174020443111658,0.00795811414718628
28,65,0.4116838574409485,0.2395513653755188,0.1721324920654297,0.004975769203156233,0.011366188526153564
29,67,0.3921038508415222,0.22600895166397095,0.16609489917755127,0.005082274321466684,0.01958000659942627
30,69,0.3842657804489136,0.21248847246170044,0.17177729308605194,0.006091858260333538,0.007838070392608643
31,71,0.37390851974487305,0.19416891038417816,0.17973960936069489,0.0020970047917217016,0.010357260704040527
32,73,0.370613157749176,0.18603819608688354,0.18457496166229248,0.0008466081344522536,0.0032953619956970215
33,75,0.3681389391422272,0.17911547422409058,0.1890234649181366,0.0009712643804959953,0.0024742186069488525
34,77,0.3654479384422302,0.1729263812303543,0.1925215721130371,0.0016951031284406781,0.0026910006999969482
35,79,0.36256980895996094,0.1692219227552414,0.19334787130355835,0.001171897049061954,0.002878129482269287
36,81,0.3589421510696411,0.1673564910888672,0.19158565998077393,0.0011789269046857953,0.0036276578903198242
37,83,0.3533813953399658,0.16534902155399323,0.1880323588848114,0.0012591093545779586,0.005560755729675293
38,85,0.35199588537216187,0.1658899188041687,0.18610596656799316,0.004160676617175341,0.001385509967803955
39,87,0.34722596406936646,0.16027328372001648,0.18695266544818878,0.0007846829830668867,0.00476992130279541
40,89,0.3461313247680664,0.15903761982917786,0.18709370493888855,0.0005675011780112982,0.0010946393013000488
41,91,0.3453233242034912,0.15841519832611084,0.18690812587738037,0.0003733994672074914,0.0008080005645751953
42,93,0.34439563751220703,0.15779492259025574,0.1866007000207901,0.0005700099281966686,0.0009276866912841797
43,95,0.34292152523994446,0.15705066919326782,0.18587085604667664,0.0007962808012962341,0.0014741122722625732
44,97,0.3412078022956848,0.15545743703842163,0.18575036525726318,0.0010634360369294882,0.0017137229442596436
45,99,0.33940383791923523,0.15318718552589417,0.18621665239334106,0.0009415009990334511,0.001803964376449585
46,101,0.3378918468952179,0.15157528221607208,0.1863165646791458,0.0006852211081422865,0.001511991024017334
47,103,0.3374260663986206,0.15040922164916992,0.18701684474945068,0.0005062558921054006,0.00046578049659729004
48,105,0.3370625972747803,0.1493447721004486,0.18771781027317047,0.00018157991871703416,0.00036346912384033203
49,107,0.3367157578468323,0.14780211448669434,0.18891362845897675,0.0002544914314057678,0.00034683942794799805
50,109,0.33643314242362976,0.14650259912014008,0.18993054330348969,0.00035230538924224675,0.00028261542320251465
51,111,0.33575665950775146,0.14384283125400543,0.19191382825374603,0.00042324967216700315,0.0006764829158782959
52,113,0.3349665403366089,0.1413377821445465,0.19362874329090118,0.0004159172822255641,0.0007901191711425781
53,116,0.33460479974746704,0.14076191186904907,0.19384287297725677,0.0006223599775694311,0.0003617405891418457
54,118,0.33424586057662964,0.14124631881713867,0.19299954175949097,0.00028258023667149246,0.00035893917083740234
55,120,0.33404165506362915,0.14271119236946106,0.1913304626941681,0.0002370722941122949,0.00020420551300048828
56,122,0.33387574553489685,0.1439729928970337,0.18990275263786316,0.000290627998765558,0.0001659095287322998
57,124,0.3336790204048157,0.14506518840789795,0.18861384689807892,0.000207850054721348,0.00019672513008117676
58,126,0.33350038528442383,0.1449539065361023,0.18854646384716034,0.0003218828933313489,0.0001786351203918457
59,128,0.33330023288726807,0.1438487470149994,0.18945148587226868,0.00030818680534139276,0.00020015239715576172
60,130,0.33308640122413635,0.1421126425266266,0.19097375869750977,0.00026669702492654324,0.00021383166313171387
61,132,0.3328867554664612,0.14044560492038727,0.1924411654472351,0.0002181410090997815,0.0001996457576751709
62,134,0.3327483534812927,0.1400022953748703,0.19274604320526123,0.00023328501265496016,0.00013840198516845703
63,136,0.3326708674430847,0.1402399241924286,0.19243092834949493,0.00023295234132092446,7.748603820800781e-05
64,138,0.33262956142425537,0.140463188290596,0.19216638803482056,0.0001758079306455329,4.13060188293457e-05
65,140,0.33257144689559937,0.14060325920581818,0.19196817278862,0.00010684235894586891,5.811452865600586e-05
66,142,0.3325067162513733,0.14043283462524414,0.19207388162612915,0.00017207088239956647,6.473064422607422e-05
67,144,0.33242321014404297,0.14002051949501038,0.1924026906490326,0.00020980795670766383,8.350610733032227e-05
68,146,0.3323412835597992,0.13954731822013855,0.19279396533966064,0.00030779538792558014,8.192658424377441e-05
69,148,0.332288533449173,0.13923662900924683,0.19305190443992615,0.0002703110221773386,5.27501106262207e-05
70,150,0.3322609066963196,0.13932043313980103,0.19294045865535736,0.00020929123274981976,2.7626752853393555e-05
71,152,0.3322424292564392,0.1394653618335724,0.19277708232402802,0.00012628133117686957,1.8477439880371094e-05
72,154,0.3322235345840454,0.13957342505455017,0.19265009462833405,9.046433842740953e-05,1.8894672393798828e-05
73,156,0.3321940302848816,0.13961558043956757,0.19257843494415283,0.00011240538151469082,2.950429916381836e-05
74,158,0.33217066526412964,0.139523446559906,0.19264721870422363,0.00016647655866108835,2.3365020751953125e-05
75,160,0.3321511447429657,0.13937687873840332,0.19277426600456238,0.0002053488278761506,1.952052116394043e-05
76,162,0.33213508129119873,0.13925328850746155,0.192881777882576,0.0002010299649555236,1.6063451766967773e-05
77,164,0.3321191072463989,0.13920658826828003,0.1929125189781189,0.00016956895706243813,1.5974044799804688e-05
78,166,0.33210134506225586,0.13922682404518127,0.1928745061159134,0.0001118072759709321,1.7762184143066406e-05
