iteration,closure_evaluations,objective,weighted_cross_entropy,l2_penalty,gradient_inf_norm,relative_objective_change
0,0,4.1743879318237305,4.1743879318237305,0.0,0.009172054938971996,
1,5,4.102356910705566,4.102349281311035,7.453978923877003e-06,0.005461612716317177,0.01725546889617773
2,7,3.5161099433898926,3.514954090118408,0.0011558107798919082,0.030323471873998642,0.1429049154123562
3,9,2.663867235183716,2.6539759635925293,0.00989122036844492,0.021575193852186203,0.24238226958982032
4,12,2.2363760471343994,2.211480140686035,0.024895908311009407,0.08138874173164368,0.16047766285163012
5,14,1.8098169565200806,1.76374351978302,0.04607344791293144,0.018272781744599342,0.19073674624663153
6,16,1.636191964149475,1.5772299766540527,0.05896197631955147,0.011036454699933529,0.09593511197091
7,18,1.3807412385940552,1.2885032892227173,0.09223799407482147,0.013270293362438679,0.15612515594293866
8,20,1.252521276473999,1.1365184783935547,0.11600278317928314,0.02135646343231201,0.09286313650674807
9,22,1.1468758583068848,1.0295748710632324,0.11730096489191055,0.009188976138830185,0.08434620644889887
10,25,1.0343348979949951,0.9120476245880127,0.12228725105524063,0.018247263506054878,0.0981282843271565
11,27,0.9594151973724365,0.8375484943389893,0.12186669558286667,0.023972950875759125,0.07243273021899055
12,29,0.9103853702545166,0.7875112295150757,0.12287414819002151,0.00758400047197938,0.04902982711791992
13,31,0.8755967617034912,0.7478817701339722,0.12771497666835785,0.009392114356160164,0.03478860855102539
14,34,0.7801622748374939,0.636451244354248,0.14371101558208466,0.007409872021526098,0.09543448686599731
15,37,0.7706520557403564,0.6247857809066772,0.145866259932518,0.016967054456472397,0.009510219097137451
16,39,0.7445763349533081,0.5986642837524414,0.1459120810031891,0.012769874185323715,0.02607572078704834
17,41,0.7129078507423401,0.5640997886657715,0.1488080769777298,0.006198381073772907,0.03166848421096802
18,44,0.6810142993927002,0.528103232383728,0.15291106700897217,0.00409526564180851,0.03189355134963989
19,47,0.6719664931297302,0.5154427289962769,0.15652376413345337,0.00717715360224247,0.00904780626296997
20,50,0.6665924787521362,0.5076923370361328,0.1589001715183258,0.002838415326550603,0.005374014377593994
21,52,0.6597630977630615,0.49749764800071716,0.16226547956466675,0.0016482309438288212,0.006829380989074707
22,54,0.6480487585067749,0.4774029850959778,0.1706458032131195,0.0032293761614710093,0.011714339256286621
23,56,0.6366194486618042,0.4592799246311188,0.17733953893184662,0.005022701807320118,0.011429309844970703
24,58,0.6061450242996216,0.4123097062110901,0.1938353031873703,0.007456657942384481,0.030474424362182617
25,60,0.5853274464607239,0.36389148235321045,0.22143596410751343,0.01783907413482666,0.020817577838897705
26,62,0.5505459308624268,0.32625192403793335,0.22429399192333221,0.004875994753092527,0.03478151559829712
27,64,0.5351961851119995,0.3200854957103729,0.2151106745004654,0.0037307569291442633,0.015349745750427246
28,66,0.5211571455001831,0.319857120513916,0.20130005478858948,0.0036008693277835846,0.014039039611816406
29,68,0.5154914855957031,0.31681811809539795,0.1986733376979828,0.0017621073639020324,0.0056656599044799805
30,70,0.5103232264518738,0.3104837238788605,0.1998395025730133,0.0018989704549312592,0.005168259143829346
31,72,0.5058686137199402,0.30193835496902466,0.20393027365207672,0.00274065462872386,0.004454612731933594
32,74,0.4973081648349762,0.2882223129272461,0.2090858519077301,0.002490494167432189,0.00856044888496399
33,76,0.4881572127342224,0.27676019072532654,0.21139702200889587,0.0027279797941446304,0.009150952100753784
34,78,0.4800114929676056,0.2672320008277893,0.21277949213981628,0.002472861669957638,0.008145719766616821
35,80,0.4743761420249939,0.26160719990730286,0.21276895701885223,0.002655870048329234,0.005635350942611694
36,82,0.4717010259628296,0.25885435938835144,0.21284665167331696,0.002050909213721752,0.0026751160621643066
37,84,0.4691006541252136,0.2546873092651367,0.2144133299589157,0.001784013002179563,0.002600371837615967
38,86,0.4667201042175293,0.2490197867155075,0.2177003026008606,0.0014731896808370948,0.002380549907684326
39,88,0.4626598358154297,0.2379547506570816,0.22470508515834808,0.0017521188128739595,0.004060268402099609
40,90,0.45975446701049805,0.22729523479938507,0.23245923221111298,0.0019553389865905046,0.0029053688049316406
41,92,0.45674556493759155,0.22413954138755798,0.23260602355003357,0.0008905588183552027,0.003008902072906494
42,94,0.4552256464958191,0.22623702883720398,0.22898860275745392,0.0008925134316086769,0.001519918441772461
43,96,0.45447760820388794,0.22803258895874023,0.2264450192451477,0.0010109172435477376,0.0007480382919311523
44,98,0.4528615474700928,0.23132002353668213,0.22154152393341064,0.0011050658067688346,0.001616060733795166
45,100,0.4509728252887726,0.23332630097866058,0.217646524310112,0.0012848745100200176,0.0018887221813201904
46,102,0.44858139753341675,0.231045663356781,0.21753571927547455,0.0012563655618578196,0.002391427755355835
47,104,0.44625425338745117,0.2233881950378418,0.22286604344844818,0.0010181486140936613,0.002327144145965576
48,106,0.44497641921043396,0.21429789066314697,0.230678528547287,0.000985877588391304,0.001277834177017212
49,108,0.44431543350219727,0.21093761920928955,0.23337779939174652,0.0006908815703354776,0.0006609857082366943
50,110,0.4440183639526367,0.21027207374572754,0.23374630510807037,0.0004512030864134431,0.0002970695495605469
51,112,0.44357916712760925,0.20930100977420807,0.23427815735340118,0.00040148061816580594,0.0004391968250274658
52,114,0.44324415922164917,0.20846019685268402,0.23478396236896515,0.00046992971329018474,0.000335007905960083
53,116,0.44256654381752014,0.20677238702774048,0.23579415678977966,0.0009308460867032409,0.0006776154041290283
54,118,0.44194650650024414,0.20518922805786133,0.2367572784423828,0.00112898088991642,0.000620037317276001
55,120,0.441286563873291,0.20396721363067627,0.23731936514377594,0.0010715897660702467,0.000659942626953125
56,122,0.440701425075531,0.20382411777973175,0.23687729239463806,0.0006019685533829033,0.0005851387977600098
57,124,0.4403449594974518,0.20413611829280853,0.23620884120464325,0.000373249378753826,0.00035646557807922363
58,126,0.44015538692474365,0.20426425337791443,0.23589114844799042,0.00031992478761821985,0.00018957257270812988
59,128,0.4399985074996948,0.20417532324790955,0.23582318425178528,0.00039408556767739356,0.00015687942504882812
60,130,0.4397673010826111,0.20378565788269043,0.23598162829875946,0.00044558627996593714,0.00023120641708374023
61,132,0.4394785165786743,0.20302584767341614,0.23645265400409698,0.0004634016950149089,0.0002887845039367676
62,134,0.43918853998184204,0.20154397189617157,0.23764458298683167,0.0003989355464000255,0.0002899765968322754
63,136,0.4389517903327942,0.2005961388349533,0.23835565149784088,0.00022530375281348825,0.00023674964904785156
64,138,0.4388601779937744,0.20056426525115967,0.23829592764377594,9.251554729416966e-05,9.161233901977539e-05
65,140,0.43879860639572144,0.20056480169296265,0.2382338047027588,0.00015005604655016214,6.157159805297852e-05
66,142,0.4387403130531311,0.2005012333393097,0.2382390797138214,0.0001867587270680815,5.829334259033203e-05
67,144,0.43857577443122864,0.200338676571846,0.23823709785938263,0.00031950947595760226,0.00016453862190246582
68,146,0.43840450048446655,0.20006828010082245,0.2383362054824829,0.0003718069929163903,0.00017127394676208496
69,148,0.4382641911506653,0.19999557733535767,0.23826861381530762,0.000289670133497566,0.00014030933380126953
70,150,0.43818873167037964,0.19978582859039307,0.23840288817882538,0.00020111883350182325,7.545948028564453e-05
71,152,0.43815481662750244,0.1996634304523468,0.23849140107631683,8.62554443301633e-05,3.3915042877197266e-05
72,154,0.43812796473503113,0.19947871565818787,0.23864924907684326,0.00012338448141235858,2.6851892471313477e-05
73,156,0.43808019161224365,0.19906878471374512,0.23901142179965973,0.00021017239487264305,4.7773122787475586e-05
74,158,0.43803223967552185,0.19869916141033173,0.23933307826519012,0.00033427367452532053,4.795193672180176e-05
75,160,0.4379735589027405,0.19831331074237823,0.23966023325920105,0.00037510323454625905,5.868077278137207e-05
76,162,0.4379173517227173,0.1983531266450882,0.2395642250776291,0.00025171181187033653,5.620718002319336e-05
77,164,0.4378809928894043,0.19868765771389008,0.23919332027435303,9.701112867332995e-05,3.635883331298828e-05
78,166,0.4378657341003418,0.19891932606697083,0.23894642293453217,6.58463904983364e-05,1.52587890625e-05
79,168,0.4378574788570404,0.19903337955474854,0.23882409930229187,8.485498983645812e-05,8.255243301391602e-06
80,170,0.43784284591674805,0.19912166893482208,0.23872119188308716,0.0001119468652177602,1.4632940292358398e-05
81,172,0.437824010848999,0.1991400122642517,0.23868398368358612,0.00016010794206522405,1.8835067749023438e-05
82,174,0.43779256939888,0.1990090012550354,0.2387835681438446,0.00017436542839277536,3.1441450119018555e-05
83,177,0.4377772808074951,0.19889013469219208,0.23888716101646423,0.00015672473818995059,1.5288591384887695e-05
84,179,0.43775492906570435,0.19867119193077087,0.23908373713493347,7.876571908127517e-05,2.2351741790771484e-05
85,181,0.4377468228340149,0.19855713844299316,0.23918968439102173,1.1348004591127392e-05,8.106231689453125e-06
86,183,0.4377438724040985,0.19852715730667114,0.23921671509742737,3.105859650531784e-05,2.950429916381836e-06
87,185,0.4377400279045105,0.19851209223270416,0.23922792077064514,5.818278077640571e-05,3.844499588012695e-06
88,187,0.4377310872077942,0.19850340485572815,0.23922766745090485,8.945516310632229e-05,8.940696716308594e-06
89,189,0.4377184510231018,0.19851920008659363,0.23919923603534698,9.088239312404767e-05,1.2636184692382812e-05
90,192,0.43771547079086304,0.1985073685646057,0.23920810222625732,9.736446372698992e-05,2.9802322387695312e-06
91,194,0.43770700693130493,0.19853948056697845,0.23916752636432648,4.391658876556903e-05,8.463859558105469e-06
92,196,0.43770360946655273,0.1985570192337036,0.23914659023284912,6.875993221910903e-06,3.3974647521972656e-06
93,198,0.43770188093185425,0.19856466352939606,0.2391372174024582,2.5724792067194358e-05,1.7285346984863281e-06
94,200,0.437699556350708,0.19856834411621094,0.23913122713565826,4.3788004404632375e-05,2.3245811462402344e-06
95,202,0.4376949071884155,0.19857026636600494,0.23912465572357178,5.684313509846106e-05,4.649162292480469e-06
96,204,0.4376908242702484,0.19856911897659302,0.2391217052936554,6.217791815288365e-05,4.082918167114258e-06
97,206,0.43768733739852905,0.19855181872844696,0.2391355186700821,2.3119482648326084e-05,3.4868717193603516e-06
98,208,0.4376862943172455,0.19854676723480225,0.23913952708244324,4.361050741863437e-06,1.043081283569336e-06
99,210,0.43768560886383057,0.1985432505607605,0.23914235830307007,1.3317950106284115e-05,6.854534149169922e-07
100,212,0.43768489360809326,0.19854003190994263,0.23914487659931183,2.3129476176109165e-05,7.152557373046875e-07
101,214,0.4376828372478485,0.1985306590795517,0.23915217816829681,3.839587952825241e-05,2.0563602447509766e-06
102,216,0.4376804530620575,0.19852684438228607,0.23915360867977142,3.42732819262892e-05,2.384185791015625e-06
103,219,0.4376794397830963,0.19851405918598175,0.23916538059711456,3.5473480238579214e-05,1.0132789611816406e-06
104,221,0.43767839670181274,0.19851887226104736,0.2391595095396042,1.1460716450528707e-05,1.043081283569336e-06
105,223,0.4376780688762665,0.19852179288864136,0.23915627598762512,2.571942331996979e-06,3.2782554626464844e-07
106,225,0.43767794966697693,0.19852297008037567,0.23915497958660126,7.440714853146346e-06,1.1920928955078125e-07
107,227,0.4376775324344635,0.1985235959291458,0.2391539365053177,1.5827790775801986e-05,4.172325134277344e-07
