iteration,closure_evaluations,objective,weighted_cross_entropy,l2_penalty,gradient_inf_norm,relative_objective_change
0,0,4.1743879318237305,4.1743879318237305,0.0,0.009172054938971996,
1,5,4.05731201171875,4.057290077209473,2.196733476012014e-05,0.004191521089524031,0.028046248220594025
2,7,3.5167062282562256,3.515566349029541,0.0011399845825508237,0.02281847409904003,0.13324234909740504
3,9,2.566180467605591,2.5541908740997314,0.011989697813987732,0.02101634442806244,0.27028864481579323
4,12,2.2497239112854004,2.2273030281066895,0.022420935332775116,0.09712575376033783,0.12331812213326698
5,14,1.8073205947875977,1.763537883758545,0.043782737106084824,0.02103816531598568,0.19664782610815187
6,16,1.598512053489685,1.5378206968307495,0.060691408812999725,0.010966787114739418,0.11553486520328866
7,18,1.3883095979690552,1.2959067821502686,0.09240284562110901,0.01682509109377861,0.1314988242107655
8,20,1.2519794702529907,1.143284559249878,0.10869495570659637,0.010148243047297001,0.09819864957751534
9,22,1.1442606449127197,1.0246729850769043,0.11958765238523483,0.012398923747241497,0.08603881125822613
10,24,1.0663551092147827,0.9384526014328003,0.12790249288082123,0.03330366313457489,0.06808373253445187
11,26,0.9914087057113647,0.8645999431610107,0.126808762550354,0.008297844789922237,0.07028278183859898
12,28,0.930793285369873,0.8005813360214233,0.1302119493484497,0.023953663185238838,0.0606154203414917
13,30,0.876768171787262,0.7450007796287537,0.1317673921585083,0.010789517313241959,0.054025113582611084
14,32,0.8255183100700378,0.6935170292854309,0.13200128078460693,0.006888524629175663,0.05124986171722412
15,35,0.747331440448761,0.6149154901504517,0.13241595029830933,0.006224323064088821,0.07818686962127686
16,38,0.7294331192970276,0.5950876474380493,0.13434547185897827,0.0131504125893116,0.0178983211517334
17,40,0.699015736579895,0.5550281405448914,0.14398762583732605,0.004693479742854834,0.03041738271713257
18,43,0.6869468092918396,0.5370686054229736,0.14987818896770477,0.005101888440549374,0.01206892728805542
19,45,0.6763303875923157,0.5184938907623291,0.15783648192882538,0.002650744980201125,0.010616421699523926
20,47,0.6697419881820679,0.5045305490493774,0.16521145403385162,0.0017318399623036385,0.006588399410247803
21,49,0.6600003242492676,0.4831313490867615,0.17686894536018372,0.003617007751017809,0.009741663932800293
22,51,0.6456496119499207,0.4545484185218811,0.19110119342803955,0.004565998446196318,0.014350712299346924
23,53,0.625158429145813,0.42303282022476196,0.2021256387233734,0.005808267742395401,0.020491182804107666
24,55,0.5847207903862,0.370675265789032,0.21404553949832916,0.00759348226711154,0.04043763875961304
25,57,0.5584137439727783,0.34385910630226135,0.21455460786819458,0.007306231185793877,0.02630704641342163
26,59,0.5400207042694092,0.3311379551887512,0.20888276398181915,0.007406949065625668,0.01839303970336914
27,61,0.5289006233215332,0.3266274333000183,0.20227321982383728,0.005534237250685692,0.011120080947875977
28,63,0.5195960402488708,0.32492971420288086,0.19466632604599,0.002569702221080661,0.009304583072662354
29,65,0.5144608020782471,0.3200613260269165,0.19439946115016937,0.0015017024707049131,0.005135238170623779
30,67,0.5085663199424744,0.3102834224700928,0.19828291237354279,0.0017656993586570024,0.005894482135772705
31,69,0.504199206829071,0.29970479011535645,0.2044944316148758,0.0017756380839273334,0.00436711311340332
32,71,0.49884170293807983,0.2866010069847107,0.21224069595336914,0.002161347307264805,0.005357503890991211
33,73,0.4924282431602478,0.2733522951602936,0.21907594799995422,0.0029042225796729326,0.006413459777832031
34,75,0.4841943383216858,0.25980573892593384,0.22438861429691315,0.003627078840509057,0.008233904838562012
35,77,0.47649064660072327,0.25060880184173584,0.22588184475898743,0.0034835573751479387,0.007703691720962524
36,79,0.4712792634963989,0.24730315804481506,0.22397610545158386,0.0027851825580000877,0.005211383104324341
37,81,0.46762150526046753,0.24619978666305542,0.2214217185974121,0.002237191889435053,0.0036577582359313965
38,83,0.4649256467819214,0.24525752663612366,0.21966812014579773,0.001579341129399836,0.0026958584785461426
39,85,0.46295028924942017,0.2432631254196167,0.21968716382980347,0.0011373978340998292,0.0019753575325012207
40,87,0.4604372978210449,0.23966315388679504,0.22077415883541107,0.0008449866436421871,0.002512991428375244
41,89,0.45883262157440186,0.23676177859306335,0.2220708578824997,0.0015900367870926857,0.0016046762466430664
42,91,0.4572623670101166,0.2337130904197693,0.2235492765903473,0.00166235095821321,0.0015702545642852783
43,93,0.4554916024208069,0.23033252358436584,0.22515909373760223,0.0011091013438999653,0.0017707645893096924
44,95,0.45336973667144775,0.22558167576789856,0.227788046002388,0.0012333960039541125,0.002121865749359131
45,97,0.45097100734710693,0.21967384219169617,0.23129718005657196,0.0013340580044314265,0.0023987293243408203
46,99,0.44857117533683777,0.2138616442680359,0.23470953106880188,0.0009727159049361944,0.002399832010269165
47,101,0.4470139145851135,0.210490882396698,0.23652301728725433,0.0008780094212852418,0.0015572607517242432
48,103,0.4461126923561096,0.20971110463142395,0.23640157282352448,0.0007934615714475513,0.0009012222290039062
49,105,0.4454941153526306,0.21046605706214905,0.23502804338932037,0.0004125039849895984,0.0006185770034790039
50,107,0.44483035802841187,0.2125319391489029,0.23229841887950897,0.0004028863331768662,0.00066375732421875
51,109,0.44448983669281006,0.21298694610595703,0.23150289058685303,0.0005062722484581172,0.00034052133560180664
52,111,0.44366809725761414,0.21307820081710815,0.23058989644050598,0.0006876144325360656,0.0008217394351959229
53,113,0.4431058168411255,0.21167808771133423,0.23142774403095245,0.0012728957226499915,0.0005622804164886475
54,115,0.44242632389068604,0.20957672595977783,0.232849583029747,0.0007225743029266596,0.0006794929504394531
55,117,0.4418416917324066,0.20640110969543457,0.23544058203697205,0.00043060147436335683,0.0005846321582794189
56,119,0.4415789842605591,0.20477083325386047,0.23680813610553741,0.00030286089167930186,0.0002627074718475342
57,121,0.4411490559577942,0.2025822401046753,0.2385668307542801,0.0002747607068158686,0.0004299283027648926
58,123,0.4408348798751831,0.2009807825088501,0.239854097366333,0.0005218864534981549,0.000314176082611084
59,125,0.44053956866264343,0.20081867277622223,0.2397208958864212,0.0005561627331189811,0.00029531121253967285
60,127,0.4401945471763611,0.20125609636306763,0.23893843591213226,0.0004314656544011086,0.00034502148628234863
61,129,0.43987929821014404,0.20163172483444214,0.2382475584745407,0.00039322138763964176,0.000315248966217041
62,131,0.4398251175880432,0.20190930366516113,0.2379157990217209,0.0007384598138742149,5.418062210083008e-05
63,133,0.4395570158958435,0.20113921165466309,0.2384178191423416,0.0001633792999200523,0.00026810169219970703
64,135,0.43950358033180237,0.2007349729537964,0.23876860737800598,9.317359945271164e-05,5.3435564041137695e-05
65,137,0.4394470751285553,0.2003437578678131,0.2391033172607422,0.0001005272424663417,5.650520324707031e-05
66,139,0.43935319781303406,0.1998959183692932,0.23945727944374084,0.0001924451207742095,9.387731552124023e-05
67,141,0.4391757845878601,0.19921523332595825,0.23996056616306305,0.0002671603870112449,0.0001774132251739502
68,144,0.43907392024993896,0.19876734912395477,0.2403065711259842,0.00030586053617298603,0.00010186433792114258
69,146,0.43891119956970215,0.1985815167427063,0.24032969772815704,0.00025806546909734607,0.0001627206802368164
70,148,0.43881726264953613,0.19878387451171875,0.24003338813781738,0.00011818891653092578,9.393692016601562e-05
71,150,0.43878069519996643,0.19896237552165985,0.23981831967830658,6.193293666001409e-05,3.656744956970215e-05
72,152,0.43874019384384155,0.19911600649356842,0.23962417244911194,0.00010172396287089214,4.050135612487793e-05
73,154,0.4386850595474243,0.19922837615013123,0.23945669829845428,0.0002235892170574516,5.513429641723633e-05
74,156,0.43862009048461914,0.19916845858097076,0.23945163190364838,0.0002694427384994924,6.496906280517578e-05
75,158,0.43855440616607666,0.1989336907863617,0.23962071537971497,0.00023647490888834,6.568431854248047e-05
76,160,0.43853330612182617,0.19864147901535034,0.23989182710647583,0.00017803152150008827,2.110004425048828e-05
77,162,0.4385029673576355,0.19856011867523193,0.23994286358356476,8.124725718516856e-05,3.0338764190673828e-05
78,164,0.43849021196365356,0.19848820567131042,0.24000202119350433,5.7322315115015954e-05,1.2755393981933594e-05
79,166,0.43847841024398804,0.19837960600852966,0.24009881913661957,6.152025889605284e-05,1.1801719665527344e-05
80,168,0.43846309185028076,0.19823795557022095,0.24022513628005981,0.0001265738537767902,1.531839370727539e-05
81,170,0.43843626976013184,0.1980772465467453,0.24035902321338654,0.00017664417100604624,2.682209014892578e-05
82,172,0.43840622901916504,0.19806170463562012,0.24034453928470612,0.00015025761967990547,3.0040740966796875e-05
83,174,0.43838125467300415,0.19811797142028809,0.24026329815387726,7.421117334160954e-05,2.4974346160888672e-05
84,176,0.43836820125579834,0.19820281863212585,0.24016539752483368,2.7353746190783568e-05,1.3053417205810547e-05
85,178,0.4383624196052551,0.1983174979686737,0.24004492163658142,3.405612369533628e-05,5.781650543212891e-06
86,180,0.4383581280708313,0.19836191833019257,0.23999622464179993,5.524423613678664e-05,4.291534423828125e-06
87,182,0.43834757804870605,0.1984100043773651,0.23993757367134094,7.749118958599865e-05,1.055002212524414e-05
88,184,0.4383344352245331,0.19831502437591553,0.24001941084861755,8.587475895183161e-05,1.3142824172973633e-05
89,186,0.438324511051178,0.1982021927833557,0.24012231826782227,7.074207678670064e-05,9.924173355102539e-06
90,188,0.4383202791213989,0.19816333055496216,0.24015693366527557,1.0184568964177743e-05,4.231929779052734e-06
91,190,0.4383183419704437,0.19812965393066406,0.24018868803977966,1.562012403155677e-05,1.9371509552001953e-06
92,192,0.438315749168396,0.1980961710214615,0.24021956324577332,3.154059231746942e-05,2.592802047729492e-06
93,194,0.4383102059364319,0.19806545972824097,0.24024474620819092,4.237988468958065e-05,5.543231964111328e-06
94,196,0.4383058547973633,0.19806627929210663,0.24023959040641785,9.06118075363338e-05,4.351139068603516e-06
95,198,0.43830183148384094,0.19810888171195984,0.2401929497718811,2.5533816369716078e-05,4.023313522338867e-06
96,200,0.43830034136772156,0.1981494128704071,0.24015092849731445,6.769489118596539e-06,1.4901161193847656e-06
97,202,0.4382997155189514,0.19816668331623077,0.24013304710388184,1.3705246601602994e-05,6.258487701416016e-07
98,204,0.438297837972641,0.19819259643554688,0.24010524153709412,2.2088259356678464e-05,1.8775463104248047e-06
99,206,0.4382951259613037,0.1982051432132721,0.2400899976491928,2.8935748559888452e-05,2.7120113372802734e-06
100,209,0.4382936954498291,0.19819125533103943,0.24010245501995087,4.366425491753034e-05,1.430511474609375e-06
101,211,0.4382918179035187,0.19816140830516815,0.24013040959835052,1.3518755622499157e-05,1.8775463104248047e-06
102,213,0.43829113245010376,0.19813498854637146,0.2401561588048935,3.4298077480343636e-06,6.854534149169922e-07
103,215,0.43829089403152466,0.1981200873851776,0.24017079174518585,6.359570761560462e-06,2.384185791015625e-07
104,217,0.43829041719436646,0.19811029732227325,0.240180104970932,1.1765955605369527e-05,4.76837158203125e-07
