iteration,closure_evaluations,objective,weighted_cross_entropy,l2_penalty,gradient_inf_norm,relative_objective_change
0,0,4.174387454986572,4.174387454986572,0.0,0.015007940120995045,
1,5,4.066813945770264,4.066802501678467,1.1366409125912469e-05,0.00649048388004303,0.025769890882506648
2,7,3.6304149627685547,3.629826545715332,0.0005885190330445766,0.03434818610548973,0.1073073390671316
3,9,3.050319194793701,3.046670436859131,0.0036486980970948935,0.025398191064596176,0.1597877305828622
4,11,2.943362236022949,2.9137024879455566,0.029659772291779518,0.4294041097164154,0.03506418572630254
5,13,2.1827597618103027,2.131596565246582,0.05116311088204384,0.024091092869639397,0.258412799112476
6,15,1.9966026544570923,1.9551031589508057,0.0414995402097702,0.01920928992331028,0.08528520206860439
7,18,1.6329736709594727,1.6071596145629883,0.025814035907387733,0.013039539568126202,0.18212386059182922
8,20,1.3757880926132202,1.3429327011108398,0.032855432480573654,0.015606159344315529,0.1574952388516712
9,22,1.09396493434906,1.0393370389938354,0.05462786555290222,0.015416213311254978,0.20484488837874396
10,25,0.8966365456581116,0.8264600038528442,0.07017652690410614,0.013686572201550007,0.18037908025668523
11,27,0.7589622139930725,0.6520510315895081,0.10691120475530624,0.010869923047721386,0.13767433166503906
12,29,0.704222559928894,0.5855340361595154,0.11868850141763687,0.00806133821606636,0.05473965406417847
13,31,0.6696279644966125,0.5422691106796265,0.12735886871814728,0.006144465878605843,0.034594595432281494
14,33,0.5932472348213196,0.43542492389678955,0.15782229602336884,0.009524118155241013,0.07638072967529297
15,36,0.5723525881767273,0.4003605842590332,0.1719919890165329,0.005410369951277971,0.020894646644592285
16,38,0.5553003549575806,0.38807913661003113,0.16722123324871063,0.002398475306108594,0.01705223321914673
17,40,0.5463529825210571,0.385021448135376,0.16133156418800354,0.006353661417961121,0.008947372436523438
18,42,0.5391725301742554,0.3838053047657013,0.15536721050739288,0.0015608930261805654,0.007180452346801758
19,44,0.5306429266929626,0.3813725709915161,0.14927037060260773,0.0017381419893354177,0.008529603481292725
20,46,0.5158843994140625,0.380729615688324,0.13515479862689972,0.0037349730264395475,0.014758527278900146
21,48,0.5011124610900879,0.3693613111972809,0.1317511349916458,0.006626931484788656,0.01477193832397461
22,50,0.47460371255874634,0.33901891112327576,0.13558481633663177,0.005391753278672695,0.026508748531341553
23,52,0.4348449409008026,0.2763855457305908,0.1584593951702118,0.005673851352185011,0.039758771657943726
24,54,0.42926740646362305,0.25362151861190796,0.1756458878517151,0.007808865513652563,0.005577534437179565
25,56,0.4168268144130707,0.24436625838279724,0.17246055603027344,0.001613113097846508,0.012440592050552368
26,58,0.41340166330337524,0.24361026287078857,0.16979138553142548,0.0014405264519155025,0.0034251511096954346
27,60,0.40807080268859863,0.23940810561180115,0.16866269707679749,0.0014960035914555192,0.005330860614776611
28,62,0.4021804928779602,0.2317560315132141,0.1704244464635849,0.0017022606916725636,0.005890309810638428
29,64,0.3983995318412781,0.2232857346534729,0.17511378228664398,0.006222985219210386,0.003780961036682129
30,66,0.39180320501327515,0.21406975388526917,0.17773345112800598,0.0016602742252871394,0.00659632682800293
31,68,0.38721343874931335,0.20901741087436676,0.1781960278749466,0.001153159188106656,0.004589766263961792
32,70,0.3823811113834381,0.20457932353019714,0.17780178785324097,0.002415721071884036,0.004832327365875244
33,72,0.3779332637786865,0.19986578822135925,0.17806747555732727,0.0017908884910866618,0.004447847604751587
34,74,0.37322700023651123,0.19680292904376984,0.1764240562915802,0.0017362911021336913,0.004706263542175293
35,76,0.36818015575408936,0.19026178121566772,0.17791838943958282,0.0015413700602948666,0.005046844482421875
36,78,0.3646297752857208,0.18642789125442505,0.17820188403129578,0.0020960380788892508,0.0035503804683685303
37,80,0.36022889614105225,0.18190759420394897,0.17832131683826447,0.0019094479503110051,0.004400879144668579
38,82,0.35998255014419556,0.1767473816871643,0.18323515355587006,0.0037785449530929327,0.00024634599685668945
39,84,0.3574256896972656,0.173538938164711,0.18388676643371582,0.0010870982659980655,0.0025568604469299316
40,86,0.35665035247802734,0.17208726704120636,0.18456310033798218,0.0002915261429734528,0.0007753372192382812
41,88,0.35591864585876465,0.16968566179275513,0.18623298406600952,0.0006236247718334198,0.0007317066192626953
42,90,0.35480797290802,0.16660639643669128,0.18820157647132874,0.0008328824769705534,0.001110672950744629
43,92,0.3526570796966553,0.16161710023880005,0.19103997945785522,0.0007346165948547423,0.002150893211364746
44,94,0.352383553981781,0.15768712759017944,0.19469642639160156,0.0028138498309999704,0.0002735257148742676
45,96,0.3494862914085388,0.15563949942588806,0.19384680688381195,0.0006443297606892884,0.0028972625732421875
46,98,0.3486178517341614,0.15716566145420074,0.19145220518112183,0.00041864413651637733,0.0008684396743774414
47,100,0.3479963541030884,0.15857386589050293,0.18942247331142426,0.00036193692358210683,0.000621497631072998
48,102,0.3476334810256958,0.15857860445976257,0.18905486166477203,0.00042139936704188585,0.0003628730773925781
49,104,0.3471910357475281,0.1582021862268448,0.18898886442184448,0.0003702104731928557,0.0004424452781677246
50,106,0.34660571813583374,0.15709151327610016,0.18951421976089478,0.0003821098944172263,0.0005853176116943359
51,108,0.34581729769706726,0.15513163805007935,0.19068565964698792,0.0005595233524218202,0.0007884204387664795
52,110,0.34532037377357483,0.15364709496498108,0.19167327880859375,0.0007817415753379464,0.0004969239234924316
53,112,0.34489935636520386,0.15257945656776428,0.19231988489627838,0.0006447683554142714,0.0004210174083709717
54,114,0.34472012519836426,0.15231774747371674,0.19240237772464752,0.00048374623293057084,0.0001792311668395996
55,116,0.34463340044021606,0.15216927230358124,0.19246411323547363,0.0003405991883482784,8.672475814819336e-05
56,118,0.3444654941558838,0.15184882283210754,0.19261665642261505,0.00024164545175153762,0.0001679062843322754
57,120,0.34426456689834595,0.15141627192497253,0.19284828007221222,0.00033930232166312635,0.0002009272575378418
