iteration,closure_evaluations,objective,weighted_cross_entropy,l2_penalty,gradient_inf_norm,relative_objective_change
0,0,4.174386978149414,4.174386978149414,0.0,0.010105750523507595,
1,5,4.03242301940918,4.032390117645264,3.2808584364829585e-05,0.0042910389602184296,0.034008336908709344
2,7,3.47999906539917,3.4787957668304443,0.0012033024104312062,0.019736068323254585,0.13699553626964203
3,9,2.3875577449798584,2.3725571632385254,0.015000474639236927,0.019184451550245285,0.31392000396816316
4,12,2.115445613861084,2.0904338359832764,0.02501169592142105,0.06957084685564041,0.11397091094065663
5,14,1.704789638519287,1.658643126487732,0.04614655300974846,0.018822407349944115,0.19412268160005916
6,16,1.4889248609542847,1.423435091972351,0.0654897466301918,0.01066864375025034,0.12662253024513573
7,18,1.2928979396820068,1.1924978494644165,0.10040003806352615,0.015253125689923763,0.13165669162555313
8,20,1.1775916814804077,1.0587387084960938,0.11885294318199158,0.018105147406458855,0.08918434677833822
9,22,1.0825742483139038,0.958529531955719,0.1240447461605072,0.008633979596197605,0.08068792830385221
10,24,1.007071614265442,0.8801544904708862,0.12691715359687805,0.02373185008764267,0.0697436080398701
11,26,0.9308478236198425,0.8092159628868103,0.12163188308477402,0.013673323206603527,0.0756885504127698
12,28,0.874794602394104,0.7518891096115112,0.12290547788143158,0.016665345057845116,0.056053221225738525
13,30,0.8347861766815186,0.7054497003555298,0.12933644652366638,0.03073311038315296,0.04000842571258545
14,33,0.811301589012146,0.6773284673690796,0.1339731067419052,0.006913112476468086,0.02348458766937256
15,35,0.7751710414886475,0.6396422386169434,0.1355287730693817,0.006830401718616486,0.036130547523498535
16,38,0.7167679071426392,0.5786362886428833,0.13813160359859467,0.005365938413888216,0.0584031343460083
17,41,0.6982741951942444,0.5574276447296143,0.14084655046463013,0.018255269154906273,0.018493711948394775
18,43,0.6701680421829224,0.5243905782699585,0.14577743411064148,0.005334835033863783,0.02810615301132202
19,45,0.6296238899230957,0.47379106283187866,0.15583281219005585,0.005224693100899458,0.04054415225982666
20,49,0.6042377352714539,0.4425908923149109,0.16164685785770416,0.0034111263230443,0.025386154651641846
21,52,0.5946434736251831,0.42812371253967285,0.16651977598667145,0.004564265720546246,0.009594261646270752
22,54,0.5910521745681763,0.42043042182922363,0.17062173783779144,0.003062658477574587,0.003591299057006836
23,56,0.5859120488166809,0.41223740577697754,0.17367465794086456,0.006008800584822893,0.005140125751495361
24,58,0.5795131325721741,0.40734153985977173,0.17217159271240234,0.0027889320626854897,0.006398916244506836
25,60,0.5739119648933411,0.40245500206947327,0.1714569479227066,0.0021389757748693228,0.005601167678833008
26,62,0.559249758720398,0.3883954584598541,0.17085427045822144,0.004806453827768564,0.014662206172943115
27,64,0.5389140844345093,0.367092490196228,0.17182157933712006,0.006022605579346418,0.020335674285888672
28,66,0.5070143938064575,0.32723468542099,0.17977972328662872,0.008749136701226234,0.03189969062805176
29,68,0.5036724805831909,0.3017001748085022,0.2019723355770111,0.0172907505184412,0.0033419132232666016
30,70,0.47359204292297363,0.2737073004245758,0.19988475739955902,0.003183925524353981,0.030080437660217285
31,72,0.4676140248775482,0.2669009566307068,0.20071306824684143,0.0016703633591532707,0.005978018045425415
32,74,0.46412038803100586,0.26191627979278564,0.20220409333705902,0.0017595638055354357,0.0034936368465423584
33,76,0.46110615134239197,0.25822290778160095,0.20288324356079102,0.0015313300536945462,0.0030142366886138916
34,78,0.45592451095581055,0.2526543140411377,0.20327019691467285,0.002281197579577565,0.005181640386581421
35,80,0.4508135914802551,0.24865475296974182,0.2021588236093521,0.002660624450072646,0.00511091947555542
36,82,0.4449123740196228,0.24318328499794006,0.20172907412052155,0.002106685424223542,0.005901217460632324
37,84,0.4382721185684204,0.2373124659061432,0.20095963776111603,0.0019421698525547981,0.006640255451202393
38,86,0.43325167894363403,0.23101261258125305,0.2022390514612198,0.0020032492466270924,0.005020439624786377
39,88,0.4282517433166504,0.2205975204706192,0.20765423774719238,0.001967418473213911,0.004999935626983643
40,90,0.4255264401435852,0.21264560520648956,0.21288082003593445,0.0012596780434250832,0.0027253031730651855
41,92,0.42406418919563293,0.20925140380859375,0.21481278538703918,0.0008493093773722649,0.0014622509479522705
42,94,0.42248761653900146,0.20536047220230103,0.21712712943553925,0.0009995067957788706,0.0015765726566314697
43,96,0.42116880416870117,0.2029145210981369,0.21825429797172546,0.000975313363596797,0.001318812370300293
44,98,0.41920095682144165,0.20075078308582306,0.2184501737356186,0.0011380079668015242,0.0019678473472595215
45,100,0.4175889790058136,0.20024582743644714,0.21734315156936646,0.0010529730934649706,0.0016119778156280518
46,102,0.41605231165885925,0.20022323727607727,0.21582907438278198,0.0012104769703000784,0.0015366673469543457
47,104,0.41446036100387573,0.19925999641418457,0.21520034968852997,0.0011617535492405295,0.0015919506549835205
48,106,0.4131571054458618,0.19644172489643097,0.21671538054943085,0.0010583694092929363,0.001303255558013916
49,108,0.4119183421134949,0.1931225061416626,0.21879583597183228,0.0008465088903903961,0.0012387633323669434
50,110,0.41066956520080566,0.18879690766334534,0.22187267243862152,0.001000910997390747,0.001248776912689209
51,112,0.40965908765792847,0.185763418674469,0.22389565408229828,0.0008481820113956928,0.0010104775428771973
