rho,fold,train_examples,validation_examples,validation_cross_entropy,validation_top1_accuracy,validation_macro_accuracy,optimization_status,accepted_iterations,closure_evaluations,final_gradient_inf_norm
1e-05,0,1618,809,0.9790394885853264,0.7503090234857849,0.6843413223932603,converged_objective,98,200,5.803742169518955e-06
1e-05,1,1618,809,0.9821488542131014,0.7354758961681088,0.6752281797049651,converged_objective,100,202,1.154931123892311e-05
1e-05,2,1618,809,0.9939143229343749,0.7503090234857849,0.6864918409386244,converged_objective,101,204,5.697268989024451e-06
0.0001,0,1618,809,1.3303432236040875,0.7416563658838071,0.6616864282677779,converged_objective,57,117,1.4171333532431163e-05
0.0001,1,1618,809,1.336894291670911,0.7354758961681088,0.6585894016906215,converged_objective,58,119,1.897426409414038e-05
0.0001,2,1618,809,1.3152501609452907,0.7367119901112484,0.6549716944184778,converged_objective,58,120,9.296403732150793e-06
0.001,0,1618,809,2.6796149878320565,0.5278121137206427,0.362009813355377,converged_objective,25,54,1.2454984243959188e-05
0.001,1,1618,809,2.6907223112237175,0.515451174289246,0.35393958996388664,converged_objective,26,55,4.232628270983696e-06
0.001,2,1618,809,2.660174900471861,0.5401730531520396,0.37577493592307676,converged_objective,28,64,1.5010504284873605e-05
0.01,0,1618,809,3.838828359246586,0.2138442521631644,0.09901440699768459,converged_objective,9,22,3.780750557780266e-05
0.01,1,1618,809,3.8407845270640726,0.2126081582200247,0.09868441310148963,converged_objective,9,22,3.720400854945183e-05
0.01,2,1618,809,3.8362093736017977,0.21755253399258342,0.1008615658137594,converged_objective,10,22,1.290440559387207e-05
0.1,0,1618,809,4.104260727099246,0.07045735475896168,0.027692307692307693,converged_gradient,5,12,2.0675361156463623e-07
0.1,1,1618,809,4.104463528153696,0.06798516687268233,0.02666666666666667,converged_objective,6,20,4.0996819734573364e-06
0.1,2,1618,809,4.103942682968408,0.06798516687268233,0.02666666666666667,converged_gradient,5,12,2.2724270820617676e-07
